Year;Picea_abies_MKvassta Val;Picea_abies_n;Picea_abies_StdCrn;Pinus_syl_MKcassta Val;Pinus_syl_n;Pinus_syl_StdCrn
1549;NA;0;NA;95;1;0,97
1550;NA;0;NA;86;1;0,888
1551;NA;0;NA;133;1;1,323
1552;NA;0;NA;70;1;0,733
1553;NA;0;NA;82;1;0,868
1554;NA;0;NA;84;1;0,896
1555;NA;0;NA;76;1;0,819
1556;NA;0;NA;91;1;0,981
1557;NA;0;NA;89;1;0,968
1558;NA;0;NA;145;1;1,471
1559;NA;0;NA;140;1;1,438
1560;NA;0;NA;114;1;1,227
1561;NA;0;NA;127;1;1,348
1562;NA;0;NA;85;1;0,968
1563;NA;0;NA;62;1;0,726
1564;NA;0;NA;49;1;0,574
1565;NA;0;NA;77;1;0,91
1566;NA;0;NA;69;2;1,023
1567;NA;0;NA;65;2;1,042
1568;NA;0;NA;58;2;1,02
1569;NA;0;NA;69;2;1,119
1570;NA;0;NA;59;2;1,065
1571;NA;0;NA;51;2;0,89
1572;NA;0;NA;46;2;0,813
1573;NA;0;NA;48;2;0,831
1574;NA;0;NA;54;2;0,896
1575;NA;0;NA;68;2;1,118
1576;NA;0;NA;61;2;1
1577;NA;0;NA;53;2;0,935
1578;NA;0;NA;49;2;0,885
1579;NA;0;NA;50;4;0,858
1580;NA;0;NA;58;4;0,955
1581;NA;0;NA;55;4;0,835
1582;NA;0;NA;78;5;1,061
1583;NA;0;NA;92;5;1,109
1584;NA;0;NA;110;5;1,312
1585;NA;0;NA;141;5;1,831
1586;NA;0;NA;116;5;1,283
1587;NA;0;NA;83;5;1,04
1588;NA;0;NA;78;5;1,043
1589;NA;0;NA;77;5;1,068
1590;NA;0;NA;65;5;0,748
1591;NA;0;NA;67;5;0,863
1592;NA;0;NA;45;5;0,486
1593;NA;0;NA;45;5;0,555
1594;NA;0;NA;76;5;0,928
1595;NA;0;NA;75;5;1,005
1596;NA;0;NA;83;5;1,007
1597;88;2;1,175;87;5;1,196
1598;122;2;1,613;82;6;1,038
1599;67;2;0,942;87;6;1,124
1600;67;2;0,956;77;6;1,012
1601;48;2;0,661;50;6;0,677
1602;38;3;0,603;59;6;0,772
1603;71;3;1,202;77;6;0,969
1604;100;3;1,294;82;6;1,066
1605;97;3;1,76;88;6;1,131
1606;70;3;1,263;99;6;1,211
1607;68;3;1,342;63;6;0,836
1608;49;3;1,046;68;6;0,891
1609;41;3;0,808;62;6;0,815
1610;53;3;1,15;71;6;0,906
1611;37;3;0,705;67;6;0,925
1612;40;3;0,851;54;6;0,714
1613;45;3;0,922;72;6;0,961
1614;31;3;0,743;53;6;0,683
1615;42;3;0,941;62;7;0,784
1616;54;3;1,081;69;7;0,878
1617;54;3;1,15;85;7;1,014
1618;33;3;0,792;82;8;1,156
1619;32;3;0,79;73;8;1,089
1620;36;3;0,817;66;8;0,983
1621;35;3;0,865;71;8;0,942
1622;33;3;0,889;65;8;0,861
1623;32;3;0,851;81;8;1,091
1624;33;3;0,75;75;8;1,011
1625;27;3;0,72;88;9;1,098
1626;22;3;0,594;60;9;0,765
1627;32;3;0,783;65;9;0,841
1628;29;3;0,741;71;9;0,882
1629;32;3;0,807;113;9;1,27
1630;20;3;0,459;118;9;1,317
1631;42;3;0,8;98;9;1,178
1632;22;3;0,534;79;9;0,99
1633;34;3;0,853;58;9;0,738
1634;47;3;0,845;71;9;0,893
1635;39;3;0,875;77;9;0,973
1636;56;3;1,122;85;9;1,039
1637;46;3;0,912;76;9;0,948
1638;40;3;0,899;92;9;1,08
1639;57;3;1,221;83;9;0,971
1640;61;3;1,289;92;9;1,132
1641;66;3;1,328;60;10;0,776
1642;74;3;1,471;73;10;0,93
1643;83;3;1,494;87;10;1,085
1644;54;3;1,292;84;10;1,062
1645;42;4;1,051;70;10;0,884
1646;41;6;1,099;98;10;1,203
1647;36;6;0,99;86;10;1,066
1648;41;6;1,093;88;10;1,091
1649;41;6;1,178;92;11;1,19
1650;37;6;1,013;79;11;1,042
1651;35;6;0,975;75;11;0,992
1652;35;6;0,988;79;11;1,057
1653;22;6;0,693;71;11;0,966
1654;28;6;0,787;80;11;1,02
1655;59;6;1,293;94;11;1,174
1656;78;8;1,267;85;11;1,065
1657;71;8;1,216;85;11;1,039
1658;59;9;1,03;77;11;0,972
1659;65;9;1,082;61;11;0,807
1660;51;9;0,937;69;11;0,904
1661;57;9;0,95;70;11;0,872
1662;59;9;0,997;79;11;0,883
1663;57;9;0,985;85;11;0,973
1664;63;9;1,058;76;11;0,91
1665;82;9;1,374;73;11;0,919
1666;73;9;1,226;77;11;0,985
1667;79;9;1,306;80;11;0,981
1668;88;9;1,386;101;11;1,169
1669;67;9;1,177;101;11;1,188
1670;72;9;1,245;86;12;1,072
1671;62;9;1,112;74;12;0,934
1672;53;9;0,989;74;12;0,956
1673;32;9;0,566;82;12;1
1674;45;11;0,845;78;12;0,965
1675;47;11;0,943;89;12;1,067
1676;36;11;0,669;69;12;0,816
1677;46;11;0,878;88;12;1,009
1678;55;11;1,031;108;12;1,172
1679;62;11;1,169;107;12;1,212
1680;46;11;0,876;91;13;1,018
1681;50;11;0,949;108;14;1,194
1682;55;11;1,049;116;14;1,297
1683;61;11;1,141;120;14;1,272
1684;62;11;1,18;112;14;1,234
