"","Species","R","N","Duration"
"1","Arabidopsis suecica",-0.380425423606311,22,65
"2","Arabidopsis thaliana",-0.0580230350746645,42,135
"3","Astragalus alpinus",-0.324058630937579,39,151
"4","Botrychium lunaria",-0.456817180971061,55,134
"5","Carex capillaris",-0.0308024855166553,59,127
"6","Cerastium cerastoides",-0.196179918379329,34,125
"7","Draba alpina",-0.352596478989064,34,126
"8","Draba cacuminum",-0.954598611311966,4,40
"9","Draba fladnizensis",-0.0867045703644536,19,119
"10","Draba nivalis",-0.743696183102638,3,6
"11","Draba oxycarpa",-0.332164079744499,16,125
"12","Draba verna",-0.23475975887987,26,152
"13","Euphrasia frigida",0.161688310365656,41,96
"14","Galium odoratum",-0.213931821606336,36,119
"15","Gymnadenia conopsea",-0.0374121960560437,50,131
"16","Koenigia islandica",0.448786657823433,19,146
"17","Lathyrus vernus",-0.107097973780222,28,153
"18","Narthecium ossifragum",0.0206135606724562,34,252
"19","Oxytropis lapponica",0.0713064646479304,29,99
"20","Pedicularis oederi",-0.0743981091404672,39,244
"21","Potentilla crantzii",-0.309658808887971,46,128
"22","Veronica alpina",-0.115479292096491,42,244
"23","Veronica fruticans",-0.185531803064025,30,251
"24","Viola biflora",-0.291171832141189,35,249
