"","species","b","se"
"1","lovsange",-0.0319266325543415,0.00815369680109953
"2","bjorkefi",-0.0110516965990813,0.00922896583871751
"3","graatros",0.0186007994440429,0.00897275176050031
"4","trepiple",0.00733459448685045,0.0093057851889048
"5","blaastru",-0.0415971720830313,0.00718818210403822
"6","sivspurv",-0.0363634815084626,0.00775695939142199
"7","rodvinge",-0.00344033958739,0.00935263661905461
"8","graasisi",0.00493605754096319,0.00933867209887729
