"","species","r","n"
"1","lovsange",-0.492024988700571,50
"2","bjorkefi",-0.170318961294453,50
"3","graatros",0.286659049328152,50
"4","trepiple",0.113034275173662,50
"5","blaastru",-0.64105878029238,50
"6","sivspurv",-0.56040177578583,50
"7","rodvinge",-0.0530194671715068,50
"8","graasisi",0.076070147757801,50
