"","species","r","n"
"1","lovsange",-0.203682649887661,50
"2","bjorkefi",-0.0845100450561555,50
"3","graatros",0.177601944223099,50
"4","trepiple",0.0384898949208762,50
"5","blaastru",-0.346253359931492,50
"6","sivspurv",-0.395848895702993,50
"7","rodvinge",-0.145558458160088,50
"8","graasisi",-0.00942041346875176,50
