"","species","b","se"
"1","lovsange",-0.776631991764639,0.198342928152684
"2","bjorkefi",-0.273045519616553,0.228012753550031
"3","graatros",0.482301020311714,0.232654910457571
"4","trepiple",0.0295680731970971,0.037514567180953
"5","blaastru",-0.232300762527046,0.0401426371152887
"6","sivspurv",-0.242295074078721,0.051685728989751
"7","rodvinge",-0.0166425781216436,0.0452432039402383
"8","graasisi",0.0524211995236139,0.099177205556912
