"","Elevation","b","se"
"1","380m",0.163366113459369,0.201509813183131
"2","710m",0.457105291606635,0.185260597339954
"3","1060m",0.567192990514962,0.190670716801396
"4","1120m",0.538172793488239,0.577602230123266
