"","Elevation","b","se"
"1","380m",0.00660043088511356,0.0394497323335683
"2","710m",-0.0372096723091331,0.036042823013964
"3","1060m",-0.0111947282935513,0.0280277444156495
"4","1120m",0.0239722914277136,0.0391312933517062
