"","Elevation","b","se"
"1","380m",0.0104204753199288,0.0622815342384525
"2","710m",-0.0767824497257705,0.0743746470824272
"3","1060m",-0.0289171203871754,0.0723985109951441
"4","1120m",0.0519480519480687,0.0847976700917084
