"","Elevation","b","se"
"1","380m",0.39564366502035,0.383923119991814
"2","710m",0.409257721159533,0.469321056544184
"3","1060m",0.353885716700959,0.440475551820256
"4","1120m",0.339220512269798,0.438195286396398
