"","Temp200m","Year"
"1946",9.22000026702881,"1946"
"1947",8.80000019073486,"1947"
"1948",8.55000019073486,"1948"
"1949",9.36999988555908,"1949"
"1950",9.28999996185303,"1950"
"1951",8.89000034332275,"1951"
"1952",8.28999996185303,"1952"
"1953",9.61999988555908,"1953"
"1954",NA,"1954"
"1971",NA,"1971"
"1972",NA,"1972"
"1973",NA,"1973"
"1974",8.72999954223633,"1974"
"1975",9.11999988555908,"1975"
"1976",8.78999996185303,"1976"
"1977",8.89000034332275,"1977"
"1978",8.39999961853027,"1978"
"1979",8.27000045776367,"1979"
"1980",8.17000007629395,"1980"
"1981",8.61999988555908,"1981"
"1982",8.94999980926514,"1982"
"1983",NA,"1983"
"1984",NA,"1984"
"1985",8.69999980926514,"1985"
"1986",NA,"1986"
"1987",8.90999984741211,"1987"
"1988",NA,"1988"
"1989",9.23999977111816,"1989"
"1990",NA,"1990"
"1991",8.71000003814697,"1991"
"1992",8.77000045776367,"1992"
"1993",8.25,"1993"
"1996",9.21500015258789,"1996"
"1997",8.76000022888184,"1997"
"1998",8.64799976348877,"1998"
"1999",9.48999977111816,"1999"
"2000",9.3459997177124,"2000"
"2001",9.63599967956543,"2001"
"2002",9.10700035095215,"2002"
"2003",9.10999965667725,"2003"
"2004",9.12899971008301,"2004"
"2005",9.9370002746582,"2005"
"2006",9.49699974060059,"2006"
"2007",9.2819995880127,"2007"
"2008",9.47000026702881,"2008"
"2009",9.61299991607666,"2009"
"2010",9.16399955749512,"2010"
"2011",9.37199974060059,"2011"
"2012",8.69799995422363,"2012"
"2013",8.71399974822998,"2013"
"2014",9.4350004196167,"2014"
"2015",7.97800016403198,"2015"
"2016",8.15200042724609,"2016"
