Navn;Stasjon;Tid(norsk normaltid);Homogenisert middeltemperatur (mnd);Homogenisert middeltemperatur, avvik fra normalen 19611990 (mnd)
Vallersund;SN71650;mai.35;5,3;3,5
Vallersund;SN71650;jun.35;10,9;0,6
Vallersund;SN71650;jul.35;12,4;0,5
Vallersund;SN71650;aug.35;13,4;0,1
Vallersund;SN71650;sep.35;9,9;0,6
Vallersund;SN71650;okt.35;6,3;1,1
Vallersund;SN71650;nov.35;5,2;2,1
Vallersund;SN71650;des.35;2,1;1,3
Vallersund;SN71650;jan.36;-0,7;0,4
Vallersund;SN71650;feb.36;-1,6;1,7
Vallersund;SN71650;mar.36;2,1;0,3
Vallersund;SN71650;apr.36;3,6;0,8
Vallersund;SN71650;mai.36;8,8;0
Vallersund;SN71650;jun.36;12,4;0,9
Vallersund;SN71650;jul.36;15,2;2,3
Vallersund;SN71650;aug.36;13,6;0,3
Vallersund;SN71650;sep.36;10,9;0,4
Vallersund;SN71650;okt.36;6,1;1,3
Vallersund;SN71650;nov.36;4,1;1
Vallersund;SN71650;des.36;3,8;3
Vallersund;SN71650;jan.37;0,6;0,9
Vallersund;SN71650;feb.37;-3,1;3,2
Vallersund;SN71650;mar.37;-0,8;2,6
Vallersund;SN71650;apr.37;7,6;3,2
Vallersund;SN71650;mai.37;9,5;0,7
Vallersund;SN71650;jun.37;11,8;0,3
Vallersund;SN71650;jul.37;15,2;2,3
Vallersund;SN71650;aug.37;15,1;1,8
Vallersund;SN71650;sep.37;11,1;0,6
Vallersund;SN71650;okt.37;9,4;2
Vallersund;SN71650;nov.37;3,4;0,3
Vallersund;SN71650;des.37;-1,5;2,3
Vallersund;SN71650;jan.38;1,5;1,8
Vallersund;SN71650;feb.38;3,2;3,1
Vallersund;SN71650;mar.38;4;2,2
Vallersund;SN71650;apr.38;3,6;0,8
Vallersund;SN71650;mai.38;7,3;1,5
Vallersund;SN71650;jun.38;10,5;1
Vallersund;SN71650;jul.38;14,8;1,9
Vallersund;SN71650;aug.38;14,3;1
Vallersund;SN71650;sep.38;11,6;1,1
Vallersund;SN71650;okt.38;9,1;1,7
Vallersund;SN71650;nov.38;5,8;2,7
Vallersund;SN71650;des.38;1,9;1,1
Vallersund;SN71650;jan.39;-0,4;0,1
Vallersund;SN71650;feb.39;3,8;3,7
Vallersund;SN71650;mar.39;1,8;0
Vallersund;SN71650;apr.39;3,7;0,7
Vallersund;SN71650;mai.39;7,9;0,9
Vallersund;SN71650;jun.39;11,3;0,2
Vallersund;SN71650;jul.39;14,5;1,6
Vallersund;SN71650;aug.39;15,9;2,6
Vallersund;SN71650;sep.39;11,5;1
Vallersund;SN71650;okt.39;6,1;1,3
Vallersund;SN71650;nov.39;4,1;1
Vallersund;SN71650;des.39;-0,2;1
Vallersund;SN71650;jan.40;-2,4;2,1
Vallersund;SN71650;feb.40;-5,8;5,9
Vallersund;SN71650;mar.40;-1,3;3,1
Vallersund;SN71650;apr.40;3,4;1
Vallersund;SN71650;mai.40;10,5;1,7
Vallersund;SN71650;jun.40;11,7;0,2
Vallersund;SN71650;jul.40;12,4;0,5
Vallersund;SN71650;aug.40;11,3;2
Vallersund;SN71650;sep.40;9,5;1
Vallersund;SN71650;okt.40;7,4;0
Vallersund;SN71650;nov.40;3,1;0
Vallersund;SN71650;des.40;0,6;0,2
Vallersund;SN71650;jan.41;-3,1;2,8
Vallersund;SN71650;feb.41;-3,1;3,2
Vallersund;SN71650;mar.41;0,1;1,7
Vallersund;SN71650;apr.41;3,2;1,2
Vallersund;SN71650;mai.41;7;1,8
Vallersund;SN71650;jun.41;9,3;2,2
Vallersund;SN71650;jul.41;16,4;3,5
Vallersund;SN71650;aug.41;13,5;0,2
Vallersund;SN71650;sep.41;10,5;0
Vallersund;SN71650;okt.41;5,3;2,1
Vallersund;SN71650;nov.41;3;0,1
Vallersund;SN71650;des.41;0,1;0,7
Vallersund;SN71650;jan.42;-6,1;5,8
Vallersund;SN71650;feb.42;-2,7;2,8
Vallersund;SN71650;mar.42;-2,2;4
Vallersund;SN71650;apr.42;4,4;0
Vallersund;SN71650;mai.42;7,1;1,7
Vallersund;SN71650;jun.42;9,4;2,1
Vallersund;SN71650;jul.42;11,9;1
Vallersund;SN71650;aug.42;13,7;0,4
Vallersund;SN71650;sep.42;10,5;0
Vallersund;SN71650;okt.42;6,9;0,5
Vallersund;SN71650;nov.42;4,1;1
Vallersund;SN71650;des.42;1,9;1,1
Vallersund;SN71650;jan.43;-1,4;1,1
Vallersund;SN71650;feb.43;2,4;2,3
Vallersund;SN71650;mar.43;4,5;2,7
Vallersund;SN71650;apr.43;4,2;0,2
Vallersund;SN71650;mai.43;8,2;0,6
Vallersund;SN71650;jun.43;11,9;0,4
Vallersund;SN71650;jul.43;13,3;0,4
Vallersund;SN71650;aug.43;11,8;1,5
Vallersund;SN71650;sep.43;10,9;0,4
Vallersund;SN71650;okt.43;9;1,6
Vallersund;SN71650;nov.43;3,2;0,1
Vallersund;SN71650;des.43;3,9;3,1
Vallersund;SN71650;jan.44;1,9;2,2
Vallersund;SN71650;feb.44;1,9;1,8
Vallersund;SN71650;mar.44;1;0,8
Vallersund;SN71650;apr.44;3,1;1,3
Vallersund;SN71650;mai.44;6,1;2,7
Vallersund;SN71650;jun.44;11,2;0,3
Vallersund;SN71650;jul.44;13,4;0,5
Vallersund;SN71650;aug.44;12,4;0,9
Vallersund;SN71650;sep.44;10,5;0
Vallersund;SN71650;okt.44;8,2;0,8
Vallersund;SN71650;nov.44;2,7;0,4
Vallersund;SN71650;des.44;3,1;2,3
Vallersund;SN71650;jan.45;-3;2,7
Vallersund;SN71650;feb.45;1,5;1,4
Vallersund;SN71650;mar.45;3,7;1,9
Vallersund;SN71650;apr.45;5,4;1
Vallersund;SN71650;mai.45;8,2;0,6
Vallersund;SN71650;jun.45;10,6;0,9
Vallersund;SN71650;jul.45;14,5;1,6
Vallersund;SN71650;aug.45;14,1;0,8
Vallersund;SN71650;sep.45;10,4;0,1
Vallersund;SN71650;okt.45;6,6;0,8
Vallersund;SN71650;nov.45;4,5;1,4
Vallersund;SN71650;des.45;0,5;0,3
Vallersund;SN71650;jan.46;1,5;1,8
Vallersund;SN71650;feb.46;-1,9;2
Vallersund;SN71650;mar.46;1,1;0,7
Vallersund;SN71650;apr.46;4,9;0,5
Vallersund;SN71650;mai.46;7,9;0,9
Vallersund;SN71650;jun.46;11,6;0,1
Vallersund;SN71650;jul.46;14,9;2
Vallersund;SN71650;aug.46;14,8;1,5
Vallersund;SN71650;sep.46;12,3;1,8
Vallersund;SN71650;okt.46;7,8;0,4
Vallersund;SN71650;nov.46;4,2;1,1
Vallersund;SN71650;des.46;3,1;2,3
Vallersund;SN71650;jan.47;0;0,3
Vallersund;SN71650;feb.47;-5,5;5,6
Vallersund;SN71650;mar.47;-2,4;4,2
Vallersund;SN71650;apr.47;3,6;0,8
Vallersund;SN71650;mai.47;8,8;0
Vallersund;SN71650;jun.47;11,1;0,4
Vallersund;SN71650;jul.47;15,3;2,4
Vallersund;SN71650;aug.47;14,2;0,9
Vallersund;SN71650;sep.47;11,8;1,3
Vallersund;SN71650;okt.47;6,7;0,7
Vallersund;SN71650;nov.47;1,4;1,7
Vallersund;SN71650;des.47;0,5;0,3
Vallersund;SN71650;jan.48;-2,7;2,4
Vallersund;SN71650;feb.48;2,1;2
Vallersund;SN71650;mar.48;4,9;3,1
Vallersund;SN71650;apr.48;6;1,6
Vallersund;SN71650;mai.48;8,7;0,1
Vallersund;SN71650;jun.48;9,8;1,7
Vallersund;SN71650;jul.48;14,4;1,5
Vallersund;SN71650;aug.48;11,9;1,4
Vallersund;SN71650;sep.48;10,5;0
Vallersund;SN71650;okt.48;5,9;1,5
Vallersund;SN71650;nov.48;4,2;1,1
Vallersund;SN71650;des.48;4,8;4
Vallersund;SN71650;jan.49;2;2,3
Vallersund;SN71650;feb.49;3,1;3
Vallersund;SN71650;mar.49;0,7;1,1
Vallersund;SN71650;apr.49;5,1;0,7
Vallersund;SN71650;mai.49;8,4;0,4
Vallersund;SN71650;jun.49;10,6;0,9
Vallersund;SN71650;jul.49;12,2;0,7
Vallersund;SN71650;aug.49;12,1;1,2
Vallersund;SN71650;sep.49;12,9;2,4
Vallersund;SN71650;okt.49;7,8;0,4
Vallersund;SN71650;nov.49;4,8;1,7
Vallersund;SN71650;des.49;2;1,2
Vallersund;SN71650;jan.50;-0,7;0,4
Vallersund;SN71650;feb.50;0,6;0,5
Vallersund;SN71650;mar.50;2,7;0,9
Vallersund;SN71650;apr.50;5,4;1
Vallersund;SN71650;mai.50;7,8;1
Vallersund;SN71650;jun.50;11,2;0,3
Vallersund;SN71650;jul.50;14,9;2
Vallersund;SN71650;aug.50;16,9;3,6
Vallersund;SN71650;sep.50;11,6;1,1
Vallersund;SN71650;okt.50;8,1;0,7
Vallersund;SN71650;nov.50;3,4;0,3
Vallersund;SN71650;des.50;0;0,8
Vallersund;SN71650;jan.51;-2,5;2,2
Vallersund;SN71650;feb.51;0,4;0,3
Vallersund;SN71650;mar.51;-0,6;2,4
Vallersund;SN71650;apr.51;3;1,4
Vallersund;SN71650;mai.51;5,5;3,3
Vallersund;SN71650;jun.51;9;2,5
Vallersund;SN71650;jul.51;11,5;1,4
Vallersund;SN71650;aug.51;15,1;1,8
Vallersund;SN71650;sep.51;11,9;1,4
Vallersund;SN71650;okt.51;8,9;1,5
Vallersund;SN71650;nov.51;2,5;0,6
Vallersund;SN71650;des.51;3,1;2,3
Vallersund;SN71650;jan.52;-0,9;0,6
Vallersund;SN71650;feb.52;0;0,1
Vallersund;SN71650;mar.52;0,4;1,4
Vallersund;SN71650;apr.52;6,6;2,2
Vallersund;SN71650;mai.52;8,3;0,5
Vallersund;SN71650;jun.52;10,7;0,8
Vallersund;SN71650;jul.52;12,5;0,4
Vallersund;SN71650;aug.52;12,2;1,1
Vallersund;SN71650;sep.52;7,5;3
Vallersund;SN71650;okt.52;5,3;2,1
Vallersund;SN71650;nov.52;1,1;2
Vallersund;SN71650;des.52;-0,5;1,3
Vallersund;SN71650;jan.53;0,7;1
Vallersund;SN71650;feb.53;-2,5;2,6
Vallersund;SN71650;mar.53;4,4;2,6
Vallersund;SN71650;apr.53;4,9;0,5
Vallersund;SN71650;mai.53;7,6;1,2
Vallersund;SN71650;jun.53;14,9;3,4
Vallersund;SN71650;jul.53;15;2,1
Vallersund;SN71650;aug.53;14,6;1,3
Vallersund;SN71650;sep.53;10,9;0,4
Vallersund;SN71650;okt.53;9,5;2,1
Vallersund;SN71650;nov.53;5,8;2,7
Vallersund;SN71650;des.53;3,8;3
Vallersund;SN71650;jan.54;-0,7;0,4
Vallersund;SN71650;feb.54;-2,4;2,5
Vallersund;SN71650;mar.54;2,1;0,3
Vallersund;SN71650;apr.54;4;0,4
Vallersund;SN71650;mai.54;11,2;2,4
Vallersund;SN71650;jun.54;10,4;1,1
Vallersund;SN71650;jul.54;14,2;1,3
Vallersund;SN71650;aug.54;13,2;0,1
Vallersund;SN71650;sep.54;10,3;0,2
Vallersund;SN71650;okt.54;6,1;1,3
Vallersund;SN71650;nov.54;3,5;0,4
Vallersund;SN71650;des.54;2,7;1,9
Vallersund;SN71650;jan.55;0,3;0,6
Vallersund;SN71650;feb.55;-1,9;2
Vallersund;SN71650;mar.55;0,2;1,6
Vallersund;SN71650;apr.55;2,8;1,6
Vallersund;SN71650;mai.55;5,7;3,1
Vallersund;SN71650;jun.55;9,4;2,1
Vallersund;SN71650;jul.55;13,5;0,6
Vallersund;SN71650;aug.55;14,3;1
Vallersund;SN71650;sep.55;12,1;1,6
Vallersund;SN71650;okt.55;5,8;1,6
Vallersund;SN71650;nov.55;4,3;1,2
Vallersund;SN71650;des.55;-1,7;2,5
Vallersund;SN71650;jan.56;-0,6;0,3
Vallersund;SN71650;feb.56;-3,1;3,2
Vallersund;SN71650;mar.56;2,3;0,5
Vallersund;SN71650;apr.56;3,4;1
Vallersund;SN71650;mai.56;8,3;0,5
Vallersund;SN71650;jun.56;10;1,5
Vallersund;SN71650;jul.56;12,9;0
Vallersund;SN71650;aug.56;12;1,3
Vallersund;SN71650;sep.56;10,4;0,1
Vallersund;SN71650;okt.56;6,9;0,5
Vallersund;SN71650;nov.56;2,5;0,6
Vallersund;SN71650;des.56;2,2;1,4
Vallersund;SN71650;jan.57;2,2;2,5
Vallersund;SN71650;feb.57;-0,8;0,9
Vallersund;SN71650;mar.57;1,6;0,2
Vallersund;SN71650;apr.57;4,6;0,2
Vallersund;SN71650;mai.57;6,6;2,2
Vallersund;SN71650;jun.57;9,3;2,2
Vallersund;SN71650;jul.57;13,9;1
Vallersund;SN71650;aug.57;12,5;0,8
Vallersund;SN71650;sep.57;10,2;0,3
Vallersund;SN71650;okt.57;7;0,4
Vallersund;SN71650;nov.57;4,9;1,8
Vallersund;SN71650;des.57;1,8;1
Vallersund;SN71650;jan.58;-1,7;1,4
Vallersund;SN71650;feb.58;-4,2;4,3
Vallersund;SN71650;mar.58;-2,7;4,5
Vallersund;SN71650;apr.58;4,3;0,1
Vallersund;SN71650;mai.58;7,2;1,6
Vallersund;SN71650;jun.58;10,8;0,7
Vallersund;SN71650;jul.58;12,3;0,6
Vallersund;SN71650;aug.58;14,6;1,3
Vallersund;SN71650;sep.58;12,6;2,1
Vallersund;SN71650;okt.58;9,6;2,2
Vallersund;SN71650;nov.58;6,8;3,7
Vallersund;SN71650;des.58;-0,4;1,2
Vallersund;SN71650;jan.59;-2,6;2,3
Vallersund;SN71650;feb.59;3,7;3,6
Vallersund;SN71650;mar.59;5,2;3,4
Vallersund;SN71650;apr.59;5,8;1,4
Vallersund;SN71650;mai.59;8;0,8
Vallersund;SN71650;jun.59;11,4;0,1
Vallersund;SN71650;jul.59;13,5;0,6
Vallersund;SN71650;aug.59;14,2;0,9
Vallersund;SN71650;sep.59;10,6;0,1
Vallersund;SN71650;okt.59;8,3;0,9
Vallersund;SN71650;nov.59;5,5;2,4
Vallersund;SN71650;des.59;1,7;0,9
Vallersund;SN71650;jan.60;-1,6;1,3
Vallersund;SN71650;feb.60;-2;2,1
Vallersund;SN71650;mar.60;3,7;1,9
Vallersund;SN71650;apr.60;5,9;1,5
Vallersund;SN71650;mai.60;8,7;0,1
Vallersund;SN71650;jun.60;11;0,5
Vallersund;SN71650;jul.60;14,5;1,6
Vallersund;SN71650;aug.60;13,8;0,5
Vallersund;SN71650;sep.60;11,9;1,4
Vallersund;SN71650;okt.60;4;3,4
Vallersund;SN71650;nov.60;2,7;0,4
Vallersund;SN71650;des.60;0;0,8
Vallersund;SN71650;jan.61;0;0,3
Vallersund;SN71650;feb.61;2,8;2,7
Vallersund;SN71650;mar.61;3,3;1,5
Vallersund;SN71650;apr.61;4,3;0,1
Vallersund;SN71650;mai.61;8,6;0,2
Vallersund;SN71650;jun.61;11,4;0,1
Vallersund;SN71650;jul.61;13,5;0,6
Vallersund;SN71650;aug.61;13,3;0
Vallersund;SN71650;sep.61;12,4;1,9
Vallersund;SN71650;okt.61;10,8;3,4
Vallersund;SN71650;nov.61;6,1;3
Vallersund;SN71650;des.61;-0,1;0,9
Vallersund;SN71650;jan.62;1,1;1,4
Vallersund;SN71650;feb.62;1;0,9
Vallersund;SN71650;mar.62;-1,8;3,6
Vallersund;SN71650;apr.62;4,5;0,1
Vallersund;SN71650;mai.62;7,8;1
Vallersund;SN71650;jun.62;9,8;1,7
Vallersund;SN71650;jul.62;11,5;1,4
Vallersund;SN71650;aug.62;12,7;0,6
Vallersund;SN71650;sep.62;10,6;0,1
Vallersund;SN71650;okt.62;8,4;1
Vallersund;SN71650;nov.62;2,8;0,3
Vallersund;SN71650;des.62;0,2;0,6
Vallersund;SN71650;jan.63;-0,3;0
Vallersund;SN71650;feb.63;-2,2;2,3
Vallersund;SN71650;mar.63;1,1;0,7
Vallersund;SN71650;apr.63;5,7;1,3
Vallersund;SN71650;mai.63;10,8;2
Vallersund;SN71650;jun.63;11,9;0,4
Vallersund;SN71650;jul.63;12,2;0,7
Vallersund;SN71650;aug.63;15,8;2,5
Vallersund;SN71650;sep.63;11,5;1
Vallersund;SN71650;okt.63;8,1;0,7
Vallersund;SN71650;nov.63;2,1;1
Vallersund;SN71650;des.63;2,9;2,1
Vallersund;SN71650;jan.64;3,8;4,1
Vallersund;SN71650;feb.64;0,3;0,2
Vallersund;SN71650;mar.64;3,2;1,4
Vallersund;SN71650;apr.64;5,7;1,3
Vallersund;SN71650;mai.64;9;0,2
Vallersund;SN71650;jun.64;10,1;1,4
Vallersund;SN71650;jul.64;12,3;0,6
Vallersund;SN71650;aug.64;12,7;0,6
Vallersund;SN71650;sep.64;9,4;1,1
Vallersund;SN71650;okt.64;8,5;1,1
Vallersund;SN71650;nov.64;3,8;0,7
Vallersund;SN71650;des.64;1,8;1
Vallersund;SN71650;jan.65;-0,6;0,3
Vallersund;SN71650;feb.65;1;0,9
Vallersund;SN71650;mar.65;1,5;0,3
Vallersund;SN71650;apr.65;6,1;1,7
Vallersund;SN71650;mai.65;7,5;1,3
Vallersund;SN71650;jun.65;12;0,5
Vallersund;SN71650;jul.65;10,8;2,1
Vallersund;SN71650;aug.65;11,7;1,6
Vallersund;SN71650;sep.65;12,7;2,2
Vallersund;SN71650;okt.65;8,9;1,5
Vallersund;SN71650;nov.65;0,7;2,4
Vallersund;SN71650;des.65;-3,5;4,3
Vallersund;SN71650;jan.66;-3,2;2,9
Vallersund;SN71650;feb.66;-5,8;5,9
Vallersund;SN71650;mar.66;0,2;1,6
Vallersund;SN71650;apr.66;2,5;1,9
Vallersund;SN71650;mai.66;7,7;1,1
Vallersund;SN71650;jun.66;13,4;1,9
Vallersund;SN71650;jul.66;12,7;0,2
Vallersund;SN71650;aug.66;13;0,3
Vallersund;SN71650;sep.66;9,3;1,2
Vallersund;SN71650;okt.66;6,8;0,6
Vallersund;SN71650;nov.66;2,7;0,4
Vallersund;SN71650;des.66;0,8;0
Vallersund;SN71650;jan.67;-2,4;2,1
Vallersund;SN71650;feb.67;1,8;1,7
Vallersund;SN71650;mar.67;3;1,2
Vallersund;SN71650;apr.67;4;0,4
Vallersund;SN71650;mai.67;9,5;0,7
Vallersund;SN71650;jun.67;10,8;0,7
Vallersund;SN71650;jul.67;12,9;0
Vallersund;SN71650;aug.67;13,2;0,1
Vallersund;SN71650;sep.67;12,6;2,1
Vallersund;SN71650;okt.67;6,9;0,5
Vallersund;SN71650;nov.67;5,9;2,8
Vallersund;SN71650;des.67;-0,9;1,7
Vallersund;SN71650;jan.68;-0,8;0,5
Vallersund;SN71650;feb.68;-0,1;0,2
Vallersund;SN71650;mar.68;2;0,2
Vallersund;SN71650;apr.68;4,7;0,3
Vallersund;SN71650;mai.68;7,1;1,7
Vallersund;SN71650;jun.68;12,3;0,8
Vallersund;SN71650;jul.68;12,9;0
Vallersund;SN71650;aug.68;12,9;0,4
Vallersund;SN71650;sep.68;11,5;1
Vallersund;SN71650;okt.68;5;2,4
Vallersund;SN71650;nov.68;1,2;1,9
Vallersund;SN71650;des.68;1,9;1,1
Vallersund;SN71650;jan.69;0,3;0,6
Vallersund;SN71650;feb.69;-3,3;3,4
Vallersund;SN71650;mar.69;0;1,8
Vallersund;SN71650;apr.69;5,7;1,3
Vallersund;SN71650;mai.69;7,7;1,1
Vallersund;SN71650;jun.69;13,6;2,1
Vallersund;SN71650;jul.69;13,6;0,7
Vallersund;SN71650;aug.69;17;3,7
Vallersund;SN71650;sep.69;9,9;0,6
Vallersund;SN71650;okt.69;8,2;0,8
Vallersund;SN71650;nov.69;0,7;2,4
Vallersund;SN71650;des.69;-0,3;1,1
Vallersund;SN71650;jan.70;-2,6;2,3
Vallersund;SN71650;feb.70;-4,3;4,4
Vallersund;SN71650;mar.70;1;0,8
Vallersund;SN71650;apr.70;3,5;0,9
Vallersund;SN71650;mai.70;9,4;0,6
Vallersund;SN71650;jun.70;13,2;1,7
Vallersund;SN71650;jul.70;13,2;0,3
Vallersund;SN71650;aug.70;14;0,7
Vallersund;SN71650;sep.70;10,6;0,1
Vallersund;SN71650;okt.70;7,4;0
Vallersund;SN71650;nov.70;1,1;2
Vallersund;SN71650;des.70;2,9;2,1
Vallersund;SN71650;jan.71;2;2,3
Vallersund;SN71650;feb.71;1,5;1,4
Vallersund;SN71650;mar.71;-0,4;2,2
Vallersund;SN71650;apr.71;4,2;0,2
Vallersund;SN71650;mai.71;9,8;1
Vallersund;SN71650;jun.71;10,6;0,9
Vallersund;SN71650;jul.71;12,6;0,3
Vallersund;SN71650;aug.71;13;0,3
Vallersund;SN71650;sep.71;10,2;0,3
Vallersund;SN71650;okt.71;7;0,4
Vallersund;SN71650;nov.71;1,7;1,4
Vallersund;SN71650;des.71;4,2;3,4
Vallersund;SN71650;jan.72;-1,3;1
Vallersund;SN71650;feb.72;0,8;0,7
Vallersund;SN71650;mar.72;3,3;1,5
Vallersund;SN71650;apr.72;5,2;0,8
Vallersund;SN71650;mai.72;9,9;1,1
Vallersund;SN71650;jun.72;13,6;2,1
Vallersund;SN71650;jul.72;14,8;1,9
Vallersund;SN71650;aug.72;13,5;0,2
Vallersund;SN71650;sep.72;9,3;1,2
Vallersund;SN71650;okt.72;7,5;0,1
Vallersund;SN71650;nov.72;3,4;0,3
Vallersund;SN71650;des.72;5,4;4,6
Vallersund;SN71650;jan.73;4,1;4,4
Vallersund;SN71650;feb.73;0,6;0,5
Vallersund;SN71650;mar.73;4,6;2,8
Vallersund;SN71650;apr.73;3;1,4
Vallersund;SN71650;mai.73;8,3;0,5
Vallersund;SN71650;jun.73;11,6;0,1
Vallersund;SN71650;jul.73;13,7;0,8
Vallersund;SN71650;aug.73;12,3;1
Vallersund;SN71650;sep.73;9,7;0,8
Vallersund;SN71650;okt.73;5;2,4
Vallersund;SN71650;nov.73;1,7;1,4
Vallersund;SN71650;des.73;0,7;0,1
Vallersund;SN71650;jan.74;3,9;4,2
Vallersund;SN71650;feb.74;2,3;2,2
Vallersund;SN71650;mar.74;3,1;1,3
Vallersund;SN71650;apr.74;5,4;1
Vallersund;SN71650;mai.74;9,4;0,6
Vallersund;SN71650;jun.74;13,1;1,6
Vallersund;SN71650;jul.74;12,7;0,2
Vallersund;SN71650;aug.74;13,3;0
Vallersund;SN71650;sep.74;12,1;1,6
Vallersund;SN71650;okt.74;5,6;1,8
Vallersund;SN71650;nov.74;2,4;0,7
Vallersund;SN71650;des.74;2,7;1,9
Vennafjell;SN69070;jun.58;7,5;0,9
Vennafjell;SN69070;jul.58;8,5;1,3
Vennafjell;SN69070;aug.58;10,5;0,9
Vennafjell;SN69070;sep.58;8,5;2,7
Vennafjell;SN69070;okt.58;4,2;1,7
Vennafjell;SN69070;nov.58;1;3,4
Vennafjell;SN69070;des.58;-6;1,5
Vennafjell;SN69070;jan.59;-7,8;2,1
Vennafjell;SN69070;feb.59;-2;3,4
Vennafjell;SN69070;mar.59;-0,6;3,2
Vennafjell;SN69070;apr.59;0,3;1,2
Vennafjell;SN69070;mai.59;3,9;0,7
Vennafjell;SN69070;jun.59;8,6;0,2
Vennafjell;SN69070;jul.59;11;1,2
Vennafjell;SN69070;aug.59;10,5;0,9
Vennafjell;SN69070;sep.59;5,6;0,2
Vennafjell;SN69070;okt.59;3,8;1,3
Vennafjell;SN69070;nov.59;-0,2;2,2
Vennafjell;SN69070;des.59;-4;0,5
Vennafjell;SN69070;jan.60;-7,2;1,5
Vennafjell;SN69070;feb.60;-7,8;2,4
Vennafjell;SN69070;mar.60;-1,7;2,1
Vennafjell;SN69070;apr.60;-0,3;0,6
Vennafjell;SN69070;mai.60;5,5;0,9
Vennafjell;SN69070;jun.60;9,5;1,1
Vennafjell;SN69070;jul.60;10,7;0,9
Vennafjell;SN69070;aug.60;10,7;1,1
Vennafjell;SN69070;sep.60;7,3;1,5
Vennafjell;SN69070;okt.60;-0,5;3
Vennafjell;SN69070;nov.60;-2,9;0,5
Vennafjell;SN69070;des.60;-5;0,5
Vennafjell;SN69070;jan.61;-5;0,7
Vennafjell;SN69070;feb.61;-2,1;3,3
Vennafjell;SN69070;mar.61;-2,3;1,5
Vennafjell;SN69070;apr.61;-0,7;0,2
Vennafjell;SN69070;mai.61;3,4;1,2
Vennafjell;SN69070;jun.61;8,2;0,2
Vennafjell;SN69070;jul.61;9,5;0,3
Vennafjell;SN69070;aug.61;8,7;0,9
Vennafjell;SN69070;sep.61;7,8;2
Vennafjell;SN69070;okt.61;5,8;3,3
Vennafjell;SN69070;nov.61;-0,3;2,1
Vennafjell;SN69070;des.61;-5,9;1,4
Vennafjell;SN69070;jan.62;-4,6;1,1
Vennafjell;SN69070;feb.62;-4,8;0,6
Vennafjell;SN69070;mar.62;-7,4;3,6
Vennafjell;SN69070;apr.62;-0,9;0
Vennafjell;SN69070;mai.62;2,1;2,5
Vennafjell;SN69070;jun.62;4,9;3,5
Vennafjell;SN69070;jul.62;8,2;1,6
Vennafjell;SN69070;aug.62;8,3;1,3
Vennafjell;SN69070;sep.62;5,3;0,5
Vennafjell;SN69070;okt.62;3;0,5
Vennafjell;SN69070;nov.62;-2,8;0,4
Vennafjell;SN69070;des.62;-5,4;0,9
Vennafjell;SN69070;jan.63;-6,5;0,8
Vennafjell;SN69070;feb.63;-7,4;2
Vennafjell;SN69070;mar.63;-4,6;0,8
Vennafjell;SN69070;apr.63;0,5;1,4
Vennafjell;SN69070;mai.63;6,7;2,1
Vennafjell;SN69070;jun.63;9,4;1
Vennafjell;SN69070;jul.63;9,1;0,7
Vennafjell;SN69070;aug.63;11,6;2
Vennafjell;SN69070;sep.63;6,8;1
Vennafjell;SN69070;okt.63;2,7;0,2
Vennafjell;SN69070;nov.63;-2,9;0,5
Vennafjell;SN69070;des.63;-3;1,5
Vennafjell;SN69070;jan.64;-2,3;3,4
Vennafjell;SN69070;feb.64;-5,4;0
Vennafjell;SN69070;mar.64;-2,6;1,2
Vennafjell;SN69070;apr.64;0,8;1,7
Vennafjell;SN69070;mai.64;5,1;0,5
Vennafjell;SN69070;jun.64;6,6;1,8
Vennafjell;SN69070;jul.64;8,6;1,2
Vennafjell;SN69070;aug.64;8,2;1,4
Vennafjell;SN69070;sep.64;4,8;1
Vennafjell;SN69070;okt.64;3,5;1
Vennafjell;SN69070;nov.64;-2,1;0,3
Vennafjell;SN69070;des.64;-4,1;0,4
Vennafjell;SN69070;jan.65;-6,1;0,4
Vennafjell;SN69070;feb.65;-5;0,4
Vennafjell;SN69070;mar.65;-4,3;0,5
Vennafjell;SN69070;apr.65;0,1;1
Vennafjell;SN69070;mai.65;2,5;2,1
Vennafjell;SN69070;jun.65;8;0,4
Vennafjell;SN69070;jul.65;8,1;1,7
Vennafjell;SN69070;aug.65;8,7;0,9
Vennafjell;SN69070;sep.65;8,1;2,3
Vennafjell;SN69070;okt.65;4,1;1,6
Vennafjell;SN69070;nov.65;-5,1;2,7
Vennafjell;SN69070;des.65;-8,6;4,1
Vennafjell;SN69070;jan.66;-8,3;2,6
Vennafjell;SN69070;feb.66;-10,7;5,3
Vennafjell;SN69070;mar.66;-4,9;1,1
Vennafjell;SN69070;apr.66;-3,2;2,3
Vennafjell;SN69070;mai.66;3,4;1,2
Vennafjell;SN69070;jun.66;11,5;3,1
Vennafjell;SN69070;jul.66;9,1;0,7
Vennafjell;SN69070;aug.66;9,2;0,4
Vennafjell;SN69070;sep.66;3,9;1,9
Vennafjell;SN69070;okt.66;1,9;0,6
Vennafjell;SN69070;nov.66;-2,6;0,2
Vennafjell;SN69070;des.66;-5,1;0,6
Vennafjell;SN69070;jan.67;-7,6;1,9
Vennafjell;SN69070;feb.67;-4,1;1,3
Vennafjell;SN69070;mar.67;-2,4;1,4
Vennafjell;SN69070;apr.67;-1,8;0,9
