Navn;Stasjon;Tid(norsk normaltid);Homogenisert middeltemperatur (mnd);Homogenisert middeltemperatur, avvik fra normalen 19611990 (mnd)
Trondheim - Tyholt;SN68170;sep.23;8,5;0,8
Trondheim - Tyholt;SN68170;okt.23;4,7;1,1
Trondheim - Tyholt;SN68170;nov.23;-1,2;2
Trondheim - Tyholt;SN68170;des.23;-4,3;2,8
Trondheim - Tyholt;SN68170;jan.24;-2,5;0,6
Trondheim - Tyholt;SN68170;feb.24;-4,4;1,9
Trondheim - Tyholt;SN68170;mar.24;-3,9;4
Trondheim - Tyholt;SN68170;apr.24;1,4;1,8
Trondheim - Tyholt;SN68170;mai.24;6,2;2,5
Trondheim - Tyholt;SN68170;jun.24;9,7;2,3
Trondheim - Tyholt;SN68170;jul.24;14,7;1,5
Trondheim - Tyholt;SN68170;aug.24;14,2;1,2
Trondheim - Tyholt;SN68170;sep.24;10,5;1,2
Trondheim - Tyholt;SN68170;okt.24;6,9;1,1
Trondheim - Tyholt;SN68170;nov.24;1,8;1
Trondheim - Tyholt;SN68170;des.24;2,7;4,2
Trondheim - Tyholt;SN68170;jan.25;0,6;3,7
Trondheim - Tyholt;SN68170;feb.25;-0,6;1,9
Trondheim - Tyholt;SN68170;mar.25;-3,1;3,2
Trondheim - Tyholt;SN68170;apr.25;4;0,8
Trondheim - Tyholt;SN68170;mai.25;8,9;0,2
Trondheim - Tyholt;SN68170;jun.25;10,6;1,4
Trondheim - Tyholt;SN68170;jul.25;16,8;3,6
Trondheim - Tyholt;SN68170;aug.25;13,7;0,7
Trondheim - Tyholt;SN68170;sep.25;9,4;0,1
Trondheim - Tyholt;SN68170;okt.25;2,3;3,5
Trondheim - Tyholt;SN68170;nov.25;-2,1;2,9
Trondheim - Tyholt;SN68170;des.25;-4,6;3,1
Trondheim - Tyholt;SN68170;jan.26;-3,5;0,4
Trondheim - Tyholt;SN68170;feb.26;-2,2;0,3
Trondheim - Tyholt;SN68170;mar.26;0;0,1
Trondheim - Tyholt;SN68170;apr.26;4,7;1,5
Trondheim - Tyholt;SN68170;mai.26;6,8;1,9
Trondheim - Tyholt;SN68170;jun.26;12,9;0,9
Trondheim - Tyholt;SN68170;jul.26;13,6;0,4
Trondheim - Tyholt;SN68170;aug.26;13,2;0,2
Trondheim - Tyholt;SN68170;sep.26;8,7;0,6
Trondheim - Tyholt;SN68170;okt.26;0,4;5,4
Trondheim - Tyholt;SN68170;nov.26;2,5;1,7
Trondheim - Tyholt;SN68170;des.26;-1,5;0
Trondheim - Tyholt;SN68170;jan.27;-1,6;1,5
Trondheim - Tyholt;SN68170;feb.27;-0,8;1,7
Trondheim - Tyholt;SN68170;mar.27;1,9;1,8
Trondheim - Tyholt;SN68170;apr.27;1,3;1,9
Trondheim - Tyholt;SN68170;mai.27;4,7;4
Trondheim - Tyholt;SN68170;jun.27;10,2;1,8
Trondheim - Tyholt;SN68170;jul.27;16,6;3,4
Trondheim - Tyholt;SN68170;aug.27;15;2
Trondheim - Tyholt;SN68170;sep.27;8,9;0,4
Trondheim - Tyholt;SN68170;okt.27;3,6;2,2
Trondheim - Tyholt;SN68170;nov.27;-1,7;2,5
Trondheim - Tyholt;SN68170;des.27;-4,9;3,4
Trondheim - Tyholt;SN68170;jan.28;-2,2;0,9
Trondheim - Tyholt;SN68170;feb.28;-2,4;0,1
Trondheim - Tyholt;SN68170;mar.28;0,5;0,4
Trondheim - Tyholt;SN68170;apr.28;4,7;1,5
Trondheim - Tyholt;SN68170;mai.28;6,5;2,2
Trondheim - Tyholt;SN68170;jun.28;8,7;3,3
Trondheim - Tyholt;SN68170;jul.28;10,2;3
Trondheim - Tyholt;SN68170;aug.28;11,5;1,5
Trondheim - Tyholt;SN68170;sep.28;8,2;1,1
Trondheim - Tyholt;SN68170;okt.28;4,8;1
Trondheim - Tyholt;SN68170;nov.28;1,2;0,4
Trondheim - Tyholt;SN68170;des.28;-0,9;0,6
Trondheim - Tyholt;SN68170;jan.29;-4,1;1
Trondheim - Tyholt;SN68170;feb.29;-5,1;2,6
Trondheim - Tyholt;SN68170;mar.29;2,5;2,4
Trondheim - Tyholt;SN68170;apr.29;0,4;2,8
Trondheim - Tyholt;SN68170;mai.29;8,6;0,1
Trondheim - Tyholt;SN68170;jun.29;9,8;2,2
Trondheim - Tyholt;SN68170;jul.29;11,5;1,7
Trondheim - Tyholt;SN68170;aug.29;10,9;2,1
Trondheim - Tyholt;SN68170;sep.29;9,2;0,1
Trondheim - Tyholt;SN68170;okt.29;5;0,8
Trondheim - Tyholt;SN68170;nov.29;2,4;1,6
Trondheim - Tyholt;SN68170;des.29;2;3,5
Trondheim - Tyholt;SN68170;jan.30;1,3;4,4
Trondheim - Tyholt;SN68170;feb.30;-1,5;1
Trondheim - Tyholt;SN68170;mar.30;0,8;0,7
Trondheim - Tyholt;SN68170;apr.30;6;2,8
Trondheim - Tyholt;SN68170;mai.30;9,4;0,7
Trondheim - Tyholt;SN68170;jun.30;13,5;1,5
Trondheim - Tyholt;SN68170;jul.30;16,1;2,9
Trondheim - Tyholt;SN68170;aug.30;15,6;2,6
Trondheim - Tyholt;SN68170;sep.30;9,1;0,2
Trondheim - Tyholt;SN68170;okt.30;6,2;0,4
Trondheim - Tyholt;SN68170;nov.30;-0,3;1,1
Trondheim - Tyholt;SN68170;des.30;1;2,5
Trondheim - Tyholt;SN68170;jan.31;-4,1;1
Trondheim - Tyholt;SN68170;feb.31;-3,3;0,8
Trondheim - Tyholt;SN68170;mar.31;-3,8;3,9
Trondheim - Tyholt;SN68170;apr.31;2,6;0,6
Trondheim - Tyholt;SN68170;mai.31;9;0,3
Trondheim - Tyholt;SN68170;jun.31;7,9;4,1
Trondheim - Tyholt;SN68170;jul.31;15,2;2
Trondheim - Tyholt;SN68170;aug.31;11,4;1,6
Trondheim - Tyholt;SN68170;sep.31;7,1;2,2
Trondheim - Tyholt;SN68170;okt.31;3,9;1,9
Trondheim - Tyholt;SN68170;nov.31;3,8;3
Trondheim - Tyholt;SN68170;des.31;-0,9;0,6
Trondheim - Tyholt;SN68170;jan.32;1,6;4,7
Trondheim - Tyholt;SN68170;feb.32;0,9;3,4
Trondheim - Tyholt;SN68170;mar.32;-1,9;2
Trondheim - Tyholt;SN68170;apr.32;2,7;0,5
Trondheim - Tyholt;SN68170;mai.32;8,1;0,6
Trondheim - Tyholt;SN68170;jun.32;9,6;2,4
Trondheim - Tyholt;SN68170;jul.32;14,7;1,5
Trondheim - Tyholt;SN68170;aug.32;12,4;0,6
Trondheim - Tyholt;SN68170;sep.32;8,1;1,2
Trondheim - Tyholt;SN68170;okt.32;2,7;3,1
Trondheim - Tyholt;SN68170;nov.32;1,3;0,5
Trondheim - Tyholt;SN68170;des.32;1,6;3,1
Trondheim - Tyholt;SN68170;jan.33;0,6;3,7
Trondheim - Tyholt;SN68170;feb.33;-4,1;1,6
Trondheim - Tyholt;SN68170;mar.33;0,3;0,2
Trondheim - Tyholt;SN68170;apr.33;2,4;0,8
Trondheim - Tyholt;SN68170;mai.33;7,9;0,8
Trondheim - Tyholt;SN68170;jun.33;15,2;3,2
