Navn;Stasjon;Tid(norsk normaltid);Homogenisert middeltemperatur (mnd);Homogenisert middeltemperatur, avvik fra normalen 1961-1990 (mnd)
Trondheim - Risvollan;SN68230;02.2017;-1,4;-
Trondheim - Risvollan;SN68230;03.2017;0,7;-
Trondheim - Risvollan;SN68230;04.2017;3,3;-
Trondheim - Risvollan;SN68230;05.2017;8,8;-
Trondheim - Risvollan;SN68230;06.2017;12,8;-
Trondheim - Risvollan;SN68230;07.2017;14,3;-
Trondheim - Risvollan;SN68230;08.2017;13,1;-
Trondheim - Risvollan;SN68230;09.2017;12,1;-
Trondheim - Risvollan;SN68230;10.2017;6,4;-
Trondheim - Risvollan;SN68230;11.2017;-0,2;-
Trondheim - Risvollan;SN68230;12.2017;-2,2;-
Trondheim - Risvollan;SN68230;01.2018;-3,1;-
Trondheim - Risvollan;SN68230;02.2018;-5;-
Trondheim - Risvollan;SN68230;03.2018;-3,4;-
Trondheim - Risvollan;SN68230;04.2018;4,9;-
Trondheim - Risvollan;SN68230;05.2018;12,9;-
Trondheim - Risvollan;SN68230;06.2018;11,6;-
Trondheim - Risvollan;SN68230;07.2018;17,6;-
Trondheim - Risvollan;SN68230;08.2018;13;-
Trondheim - Risvollan;SN68230;09.2018;10,4;-
Trondheim - Risvollan;SN68230;10.2018;5,3;-
Trondheim - Risvollan;SN68230;11.2018;2,1;-
Trondheim - Risvollan;SN68230;12.2018;-1,3;-
Trondheim - Risvollan;SN68230;01.2019;-3,5;-
Trondheim - Risvollan;SN68230;02.2019;-0,1;-
Trondheim - Risvollan;SN68230;03.2019;-0,3;-
Trondheim - Risvollan;SN68230;04.2019;6,8;-
Trondheim - Risvollan;SN68230;05.2019;7,9;-
Trondheim - Risvollan;SN68230;06.2019;13,3;-
Trondheim - Risvollan;SN68230;07.2019;14,9;-
Trondheim - Risvollan;SN68230;08.2019;14,5;-
Trondheim - Risvollan;SN68230;09.2019;9,1;-
Trondheim - Risvollan;SN68230;10.2019;3,1;-
Trondheim - Risvollan;SN68230;11.2019;-2,8;-
Trondheim - Risvollan;SN68230;12.2019;0,3;-
Trondheim - Risvollan;SN68230;01.2020;1,9;-
Trondheim - Risvollan;SN68230;02.2020;0;-
Trondheim - Risvollan;SN68230;03.2020;1,4;-
Trondheim - Risvollan;SN68230;04.2020;3,8;-
Trondheim - Risvollan;SN68230;05.2020;6,7;-
Trondheim - Risvollan;SN68230;06.2020;17,5;-
Trondheim - Risvollan;SN68230;07.2020;12,9;-
Trondheim - Risvollan;SN68230;08.2020;14,1;-
Trondheim - Risvollan;SN68230;09.2020;10,3;-
Trondheim - Risvollan;SN68230;10.2020;6;-
Trondheim - Risvollan;SN68230;11.2020;4,2;-
Trondheim - Risvollan;SN68230;12.2020;1,5;-
Trondheim - Risvollan;SN68230;01.2021;-7;-
Trondheim - Risvollan;SN68230;02.2021;-5,3;-
Trondheim - Risvollan;SN68230;03.2021;2;-
Trondheim - Risvollan;SN68230;04.2021;2,9;-
Trondheim - Risvollan;SN68230;05.2021;8,9;-
Trondheim - Risvollan;SN68230;06.2021;14,3;-
Trondheim - Risvollan;SN68230;07.2021;17,4;-
Trondheim - Risvollan;SN68230;08.2021;14,1;-
Trondheim - Tyholt;SN68170;01.1923;-0,3;2,8
Trondheim - Tyholt;SN68170;02.1923;-4,9;-2,4
Trondheim - Tyholt;SN68170;03.1923;1,2;1,1
Trondheim - Tyholt;SN68170;04.1923;2,3;-0,9
Trondheim - Tyholt;SN68170;05.1923;5,7;-3
Trondheim - Tyholt;SN68170;06.1923;6,5;-5,5
Trondheim - Tyholt;SN68170;07.1923;13,1;-0,1
Trondheim - Tyholt;SN68170;08.1923;11,4;-1,6
Trondheim - Tyholt;SN68170;09.1923;8,5;-0,8
Trondheim - Tyholt;SN68170;10.1923;4,7;-1,1
Trondheim - Tyholt;SN68170;11.1923;-1,2;-2
Trondheim - Tyholt;SN68170;12.1923;-4,3;-2,8
Trondheim - Tyholt;SN68170;01.1924;-2,5;0,6
Trondheim - Tyholt;SN68170;02.1924;-4,4;-1,9
Trondheim - Tyholt;SN68170;03.1924;-3,9;-4
Trondheim - Tyholt;SN68170;04.1924;1,4;-1,8
Trondheim - Tyholt;SN68170;05.1924;6,2;-2,5
Trondheim - Tyholt;SN68170;06.1924;9,7;-2,3
Trondheim - Tyholt;SN68170;07.1924;14,7;1,5
Trondheim - Tyholt;SN68170;08.1924;14,2;1,2
Trondheim - Tyholt;SN68170;09.1924;10,5;1,2
Trondheim - Tyholt;SN68170;10.1924;6,9;1,1
Trondheim - Tyholt;SN68170;11.1924;1,8;1
Trondheim - Tyholt;SN68170;12.1924;2,7;4,2
Trondheim - Tyholt;SN68170;01.1925;0,6;3,7
Trondheim - Tyholt;SN68170;02.1925;-0,6;1,9
Trondheim - Tyholt;SN68170;03.1925;-3,1;-3,2
Trondheim - Tyholt;SN68170;04.1925;4;0,8
Trondheim - Tyholt;SN68170;05.1925;8,9;0,2
Trondheim - Tyholt;SN68170;06.1925;10,6;-1,4
Trondheim - Tyholt;SN68170;07.1925;16,8;3,6
Trondheim - Tyholt;SN68170;08.1925;13,7;0,7
Trondheim - Tyholt;SN68170;09.1925;9,4;0,1
Trondheim - Tyholt;SN68170;10.1925;2,3;-3,5
Trondheim - Tyholt;SN68170;11.1925;-2,1;-2,9
Trondheim - Tyholt;SN68170;12.1925;-4,6;-3,1
Trondheim - Tyholt;SN68170;01.1926;-3,5;-0,4
Trondheim - Tyholt;SN68170;02.1926;-2,2;0,3
Trondheim - Tyholt;SN68170;03.1926;0;-0,1
Trondheim - Tyholt;SN68170;04.1926;4,7;1,5
Trondheim - Tyholt;SN68170;05.1926;6,8;-1,9
Trondheim - Tyholt;SN68170;06.1926;12,9;0,9
Trondheim - Tyholt;SN68170;07.1926;13,6;0,4
Trondheim - Tyholt;SN68170;08.1926;13,2;0,2
Trondheim - Tyholt;SN68170;09.1926;8,7;-0,6
Trondheim - Tyholt;SN68170;10.1926;0,4;-5,4
Trondheim - Tyholt;SN68170;11.1926;2,5;1,7
Trondheim - Tyholt;SN68170;12.1926;-1,5;0
Trondheim - Tyholt;SN68170;01.1927;-1,6;1,5
Trondheim - Tyholt;SN68170;02.1927;-0,8;1,7
Trondheim - Tyholt;SN68170;03.1927;1,9;1,8
Trondheim - Tyholt;SN68170;04.1927;1,3;-1,9
Trondheim - Tyholt;SN68170;05.1927;4,7;-4
Trondheim - Tyholt;SN68170;06.1927;10,2;-1,8
Trondheim - Tyholt;SN68170;07.1927;16,6;3,4
Trondheim - Tyholt;SN68170;08.1927;15;2
Trondheim - Tyholt;SN68170;09.1927;8,9;-0,4
Trondheim - Tyholt;SN68170;10.1927;3,6;-2,2
Trondheim - Tyholt;SN68170;11.1927;-1,7;-2,5
Trondheim - Tyholt;SN68170;12.1927;-4,9;-3,4
Trondheim - Tyholt;SN68170;01.1928;-2,2;0,9
Trondheim - Tyholt;SN68170;02.1928;-2,4;0,1
Trondheim - Tyholt;SN68170;03.1928;0,5;0,4
Trondheim - Tyholt;SN68170;04.1928;4,7;1,5
Trondheim - Tyholt;SN68170;05.1928;6,5;-2,2
Trondheim - Tyholt;SN68170;06.1928;8,7;-3,3
Trondheim - Tyholt;SN68170;07.1928;10,2;-3
Trondheim - Tyholt;SN68170;08.1928;11,5;-1,5
Trondheim - Tyholt;SN68170;09.1928;8,2;-1,1
Trondheim - Tyholt;SN68170;10.1928;4,8;-1
Trondheim - Tyholt;SN68170;11.1928;1,2;0,4
Trondheim - Tyholt;SN68170;12.1928;-0,9;0,6
Trondheim - Tyholt;SN68170;01.1929;-4,1;-1
Trondheim - Tyholt;SN68170;02.1929;-5,1;-2,6
Trondheim - Tyholt;SN68170;03.1929;2,5;2,4
Trondheim - Tyholt;SN68170;04.1929;0,4;-2,8
Trondheim - Tyholt;SN68170;05.1929;8,6;-0,1
Trondheim - Tyholt;SN68170;06.1929;9,8;-2,2
Trondheim - Tyholt;SN68170;07.1929;11,5;-1,7
Trondheim - Tyholt;SN68170;08.1929;10,9;-2,1
Trondheim - Tyholt;SN68170;09.1929;9,2;-0,1
Trondheim - Tyholt;SN68170;10.1929;5;-0,8
Trondheim - Tyholt;SN68170;11.1929;2,4;1,6
Trondheim - Tyholt;SN68170;12.1929;2;3,5
Trondheim - Tyholt;SN68170;01.1930;1,3;4,4
Trondheim - Tyholt;SN68170;02.1930;-1,5;1
Trondheim - Tyholt;SN68170;03.1930;0,8;0,7
Trondheim - Tyholt;SN68170;04.1930;6;2,8
Trondheim - Tyholt;SN68170;05.1930;9,4;0,7
Trondheim - Tyholt;SN68170;06.1930;13,5;1,5
Trondheim - Tyholt;SN68170;07.1930;16,1;2,9
Trondheim - Tyholt;SN68170;08.1930;15,6;2,6
Trondheim - Tyholt;SN68170;09.1930;9,1;-0,2
Trondheim - Tyholt;SN68170;10.1930;6,2;0,4
Trondheim - Tyholt;SN68170;11.1930;-0,3;-1,1
Trondheim - Tyholt;SN68170;12.1930;1;2,5
Trondheim - Tyholt;SN68170;01.1931;-4,1;-1
Trondheim - Tyholt;SN68170;02.1931;-3,3;-0,8
Trondheim - Tyholt;SN68170;03.1931;-3,8;-3,9
Trondheim - Tyholt;SN68170;04.1931;2,6;-0,6
Trondheim - Tyholt;SN68170;05.1931;9;0,3
Trondheim - Tyholt;SN68170;06.1931;7,9;-4,1
Trondheim - Tyholt;SN68170;07.1931;15,2;2
Trondheim - Tyholt;SN68170;08.1931;11,4;-1,6
Trondheim - Tyholt;SN68170;09.1931;7,1;-2,2
Trondheim - Tyholt;SN68170;10.1931;3,9;-1,9
Trondheim - Tyholt;SN68170;11.1931;3,8;3
Trondheim - Tyholt;SN68170;12.1931;-0,9;0,6
Trondheim - Tyholt;SN68170;01.1932;1,6;4,7
Trondheim - Tyholt;SN68170;02.1932;0,9;3,4
Trondheim - Tyholt;SN68170;03.1932;-1,9;-2
Trondheim - Tyholt;SN68170;04.1932;2,7;-0,5
Trondheim - Tyholt;SN68170;05.1932;8,1;-0,6
Trondheim - Tyholt;SN68170;06.1932;9,6;-2,4
Trondheim - Tyholt;SN68170;07.1932;14,7;1,5
Trondheim - Tyholt;SN68170;08.1932;12,4;-0,6
Trondheim - Tyholt;SN68170;09.1932;8,1;-1,2
Trondheim - Tyholt;SN68170;10.1932;2,7;-3,1
Trondheim - Tyholt;SN68170;11.1932;1,3;0,5
Trondheim - Tyholt;SN68170;12.1932;1,6;3,1
Trondheim - Tyholt;SN68170;01.1933;0,6;3,7
Trondheim - Tyholt;SN68170;02.1933;-4,1;-1,6
Trondheim - Tyholt;SN68170;03.1933;0,3;0,2
Trondheim - Tyholt;SN68170;04.1933;2,4;-0,8
Trondheim - Tyholt;SN68170;05.1933;7,9;-0,8
Trondheim - Tyholt;SN68170;06.1933;15,2;3,2
Trondheim - Tyholt;SN68170;07.1933;15;1,8
Trondheim - Tyholt;SN68170;08.1933;12,6;-0,4
Trondheim - Tyholt;SN68170;09.1933;10,7;1,4
Trondheim - Tyholt;SN68170;10.1933;5,2;-0,6
Trondheim - Tyholt;SN68170;11.1933;-1,2;-2
Trondheim - Tyholt;SN68170;12.1933;-0,1;1,4
Trondheim - Tyholt;SN68170;01.1934;2;5,1
Trondheim - Tyholt;SN68170;02.1934;0,8;3,3
Trondheim - Tyholt;SN68170;03.1934;0,7;0,6
Trondheim - Tyholt;SN68170;04.1934;3,2;0
Trondheim - Tyholt;SN68170;05.1934;8,7;0
Trondheim - Tyholt;SN68170;06.1934;11;-1
Trondheim - Tyholt;SN68170;07.1934;15,4;2,2
Trondheim - Tyholt;SN68170;08.1934;15,5;2,5
Trondheim - Tyholt;SN68170;09.1934;12,6;3,3
Trondheim - Tyholt;SN68170;10.1934;6;0,2
Trondheim - Tyholt;SN68170;11.1934;1,3;0,5
Trondheim - Tyholt;SN68170;12.1934;0,5;2
Trondheim - Tyholt;SN68170;01.1935;-2,6;0,5
Trondheim - Tyholt;SN68170;02.1935;-0,8;1,7
Trondheim - Tyholt;SN68170;03.1935;-1,9;-2
Trondheim - Tyholt;SN68170;04.1935;2,6;-0,6
Trondheim - Tyholt;SN68170;05.1935;5,1;-3,6
Trondheim - Tyholt;SN68170;06.1935;12,1;0,1
Trondheim - Tyholt;SN68170;07.1935;12,5;-0,7
Trondheim - Tyholt;SN68170;08.1935;13,2;0,2
Trondheim - Tyholt;SN68170;09.1935;8,7;-0,6
Trondheim - Tyholt;SN68170;10.1935;4,8;-1
Trondheim - Tyholt;SN68170;11.1935;3,8;3
Trondheim - Tyholt;SN68170;12.1935;-0,5;1
Trondheim - Tyholt;SN68170;01.1936;-2,4;0,7
Trondheim - Tyholt;SN68170;02.1936;-4;-1,5
Trondheim - Tyholt;SN68170;03.1936;0,1;0
Trondheim - Tyholt;SN68170;04.1936;2,1;-1,1
Trondheim - Tyholt;SN68170;05.1936;9,2;0,5
Trondheim - Tyholt;SN68170;06.1936;13,6;1,6
Trondheim - Tyholt;SN68170;07.1936;15,6;2,4
Trondheim - Tyholt;SN68170;08.1936;13,1;0,1
Trondheim - Tyholt;SN68170;09.1936;8,9;-0,4
Trondheim - Tyholt;SN68170;10.1936;4,1;-1,7
Trondheim - Tyholt;SN68170;11.1936;2,1;1,3
Trondheim - Tyholt;SN68170;12.1936;2;3,5
Trondheim - Tyholt;SN68170;01.1937;-1,7;1,4
Trondheim - Tyholt;SN68170;02.1937;-5;-2,5
Trondheim - Tyholt;SN68170;03.1937;-2,4;-2,5
Trondheim - Tyholt;SN68170;04.1937;6,7;3,5
Trondheim - Tyholt;SN68170;05.1937;10,5;1,8
Trondheim - Tyholt;SN68170;06.1937;12,2;0,2
Trondheim - Tyholt;SN68170;07.1937;16,9;3,7
Trondheim - Tyholt;SN68170;08.1937;16,2;3,2
Trondheim - Tyholt;SN68170;09.1937;9,9;0,6
Trondheim - Tyholt;SN68170;10.1937;7,6;1,8
