Navn;Stasjon;Tid(norsk normaltid);Homogenisert middeltemperatur (mnd);Homogenisert middeltemperatur, avvik fra normalen 1961-1990 (mnd)
Trondheim - Tyholt;SN68170;11.1937;0;-0,8
Trondheim - Tyholt;SN68170;12.1937;-4,5;-3
Trondheim - Tyholt;SN68170;01.1938;-0,7;2,4
Trondheim - Tyholt;SN68170;02.1938;1,1;3,6
Trondheim - Tyholt;SN68170;03.1938;2,9;2,8
Trondheim - Tyholt;SN68170;04.1938;2,4;-0,8
Trondheim - Tyholt;SN68170;05.1938;6,7;-2
Trondheim - Tyholt;SN68170;06.1938;10,4;-1,6
Trondheim - Tyholt;SN68170;07.1938;15,4;2,2
Trondheim - Tyholt;SN68170;08.1938;14,4;1,4
Trondheim - Tyholt;SN68170;09.1938;10,4;1,1
Trondheim - Tyholt;SN68170;10.1938;6,9;1,1
Trondheim - Tyholt;SN68170;11.1938;4,3;3,5
Trondheim - Tyholt;SN68170;12.1938;0,1;1,6
Trondheim - Tyholt;SN68170;01.1939;-3;0,1
Trondheim - Tyholt;SN68170;02.1939;2;4,5
Trondheim - Tyholt;SN68170;03.1939;0,2;0,1
Trondheim - Tyholt;SN68170;04.1939;2,3;-0,9
Trondheim - Tyholt;SN68170;05.1939;7,2;-1,5
Trondheim - Tyholt;SN68170;06.1939;10,9;-1,1
Trondheim - Tyholt;SN68170;07.1939;14,8;1,6
Trondheim - Tyholt;SN68170;08.1939;15,6;2,6
Trondheim - Tyholt;SN68170;09.1939;10,2;0,9
Trondheim - Tyholt;SN68170;10.1939;4,1;-1,7
Trondheim - Tyholt;SN68170;11.1939;1,9;1,1
Trondheim - Tyholt;SN68170;12.1939;-2,7;-1,2
Trondheim - Tyholt;SN68170;01.1940;-6,8;-3,7
Trondheim - Tyholt;SN68170;02.1940;-9,2;-6,7
Trondheim - Tyholt;SN68170;03.1940;-3,2;-3,3
Trondheim - Tyholt;SN68170;04.1940;2;-1,2
Trondheim - Tyholt;SN68170;05.1940;10,7;2
Trondheim - Tyholt;SN68170;06.1940;12;0
Trondheim - Tyholt;SN68170;07.1940;13,2;0
Trondheim - Tyholt;SN68170;08.1940;11;-2
Trondheim - Tyholt;SN68170;09.1940;8;-1,3
Trondheim - Tyholt;SN68170;10.1940;5,5;-0,3
Trondheim - Tyholt;SN68170;11.1940;1,3;0,5
Trondheim - Tyholt;SN68170;12.1940;-2,5;-1
Trondheim - Tyholt;SN68170;01.1941;-7,1;-4
Trondheim - Tyholt;SN68170;02.1941;-5,7;-3,2
Trondheim - Tyholt;SN68170;03.1941;-2,1;-2,2
Trondheim - Tyholt;SN68170;04.1941;1,8;-1,4
Trondheim - Tyholt;SN68170;05.1941;6,7;-2
Trondheim - Tyholt;SN68170;06.1941;10,5;-1,5
Trondheim - Tyholt;SN68170;07.1941;17,5;4,3
Trondheim - Tyholt;SN68170;08.1941;12,8;-0,2
Trondheim - Tyholt;SN68170;09.1941;9,4;0,1
Trondheim - Tyholt;SN68170;10.1941;3,8;-2
Trondheim - Tyholt;SN68170;11.1941;0,5;-0,3
Trondheim - Tyholt;SN68170;12.1941;-2,6;-1,1
Trondheim - Tyholt;SN68170;01.1942;-9,6;-6,5
Trondheim - Tyholt;SN68170;02.1942;-5,5;-3
Trondheim - Tyholt;SN68170;03.1942;-4,7;-4,8
Trondheim - Tyholt;SN68170;04.1942;3,5;0,3
Trondheim - Tyholt;SN68170;05.1942;7;-1,7
Trondheim - Tyholt;SN68170;06.1942;9,9;-2,1
Trondheim - Tyholt;SN68170;07.1942;12,2;-1
Trondheim - Tyholt;SN68170;08.1942;13,4;0,4
Trondheim - Tyholt;SN68170;09.1942;8,8;-0,5
Trondheim - Tyholt;SN68170;10.1942;5,3;-0,5
Trondheim - Tyholt;SN68170;11.1942;2,4;1,6
Trondheim - Tyholt;SN68170;12.1942;-1,1;0,4
Trondheim - Tyholt;SN68170;01.1943;-3,9;-0,8
Trondheim - Tyholt;SN68170;02.1943;1;3,5
Trondheim - Tyholt;SN68170;03.1943;3;2,9
Trondheim - Tyholt;SN68170;04.1943;3,2;0
Trondheim - Tyholt;SN68170;05.1943;8;-0,7
Trondheim - Tyholt;SN68170;06.1943;12,6;0,6
Trondheim - Tyholt;SN68170;07.1943;13,7;0,5
Trondheim - Tyholt;SN68170;08.1943;11,4;-1,6
Trondheim - Tyholt;SN68170;09.1943;10;0,7
Trondheim - Tyholt;SN68170;10.1943;7,4;1,6
Trondheim - Tyholt;SN68170;11.1943;0,8;0
Trondheim - Tyholt;SN68170;12.1943;1,1;2,6
Trondheim - Tyholt;SN68170;01.1944;-0,5;2,6
Trondheim - Tyholt;SN68170;02.1944;-0,6;1,9
Trondheim - Tyholt;SN68170;03.1944;-0,9;-1
Trondheim - Tyholt;SN68170;04.1944;1,1;-2,1
Trondheim - Tyholt;SN68170;05.1944;5,4;-3,3
Trondheim - Tyholt;SN68170;06.1944;10,7;-1,3
Trondheim - Tyholt;SN68170;07.1944;15,1;1,9
Trondheim - Tyholt;SN68170;08.1944;12,7;-0,3
Trondheim - Tyholt;SN68170;09.1944;9,6;0,3
Trondheim - Tyholt;SN68170;10.1944;6,8;1
Trondheim - Tyholt;SN68170;11.1944;0,4;-0,4
Trondheim - Tyholt;SN68170;12.1944;1,1;2,6
Trondheim - Tyholt;SN68170;01.1945;-7,2;-4,1
Trondheim - Tyholt;SN68170;02.1945;-1,1;1,4
Trondheim - Tyholt;SN68170;03.1945;2,1;2
Trondheim - Tyholt;SN68170;04.1945;4,3;1,1
Trondheim - Tyholt;SN68170;05.1945;7,8;-0,9
Trondheim - Tyholt;SN68170;06.1945;12,1;0,1
Trondheim - Tyholt;SN68170;07.1945;15,6;2,4
Trondheim - Tyholt;SN68170;08.1945;14,3;1,3
Trondheim - Tyholt;SN68170;09.1945;9;-0,3
Trondheim - Tyholt;SN68170;10.1945;4,8;-1
Trondheim - Tyholt;SN68170;11.1945;1,5;0,7
Trondheim - Tyholt;SN68170;12.1945;-2,2;-0,7
Trondheim - Tyholt;SN68170;01.1946;-2,7;0,4
Trondheim - Tyholt;SN68170;02.1946;-5;-2,5
Trondheim - Tyholt;SN68170;03.1946;-0,6;-0,7
Trondheim - Tyholt;SN68170;04.1946;3,9;0,7
Trondheim - Tyholt;SN68170;05.1946;8,6;-0,1
Trondheim - Tyholt;SN68170;06.1946;11,6;-0,4
Trondheim - Tyholt;SN68170;07.1946;15,2;2
Trondheim - Tyholt;SN68170;08.1946;14,1;1,1
Trondheim - Tyholt;SN68170;09.1946;10,7;1,4
Trondheim - Tyholt;SN68170;10.1946;5,1;-0,7
Trondheim - Tyholt;SN68170;11.1946;2,1;1,3
Trondheim - Tyholt;SN68170;12.1946;0,2;1,7
Trondheim - Tyholt;SN68170;01.1947;-2,9;0,2
Trondheim - Tyholt;SN68170;02.1947;-8,7;-6,2
Trondheim - Tyholt;SN68170;03.1947;-4,3;-4,4
Trondheim - Tyholt;SN68170;04.1947;3;-0,2
Trondheim - Tyholt;SN68170;05.1947;9,7;1
Trondheim - Tyholt;SN68170;06.1947;12,9;0,9
Trondheim - Tyholt;SN68170;07.1947;15,6;2,4
Trondheim - Tyholt;SN68170;08.1947;14,2;1,2
Trondheim - Tyholt;SN68170;09.1947;10,5;1,2
Trondheim - Tyholt;SN68170;10.1947;4,5;-1,3
Trondheim - Tyholt;SN68170;11.1947;-1,6;-2,4
Trondheim - Tyholt;SN68170;12.1947;-3;-1,5
Trondheim - Tyholt;SN68170;01.1948;-5,9;-2,8
Trondheim - Tyholt;SN68170;02.1948;-0,6;1,9
Trondheim - Tyholt;SN68170;03.1948;3,2;3,1
Trondheim - Tyholt;SN68170;04.1948;5,5;2,3
Trondheim - Tyholt;SN68170;05.1948;8,7;0
Trondheim - Tyholt;SN68170;06.1948;10,7;-1,3
Trondheim - Tyholt;SN68170;07.1948;15,5;2,3
Trondheim - Tyholt;SN68170;08.1948;11,8;-1,2
Trondheim - Tyholt;SN68170;09.1948;9,6;0,3
Trondheim - Tyholt;SN68170;10.1948;3,7;-2,1
Trondheim - Tyholt;SN68170;11.1948;1,6;0,8
Trondheim - Tyholt;SN68170;12.1948;2,2;3,7
Trondheim - Tyholt;SN68170;01.1949;-0,4;2,7
Trondheim - Tyholt;SN68170;02.1949;0,6;3,1
Trondheim - Tyholt;SN68170;03.1949;-1,3;-1,4
Trondheim - Tyholt;SN68170;04.1949;4,1;0,9
Trondheim - Tyholt;SN68170;05.1949;8,6;-0,1
Trondheim - Tyholt;SN68170;06.1949;11;-1
Trondheim - Tyholt;SN68170;07.1949;12,6;-0,6
Trondheim - Tyholt;SN68170;08.1949;11,8;-1,2
Trondheim - Tyholt;SN68170;09.1949;12,2;2,9
Trondheim - Tyholt;SN68170;10.1949;5,7;-0,1
Trondheim - Tyholt;SN68170;11.1949;2,2;1,4
Trondheim - Tyholt;SN68170;12.1949;-0,9;0,6
Trondheim - Tyholt;SN68170;01.1950;-3,5;-0,4
Trondheim - Tyholt;SN68170;02.1950;-1,7;0,8
Trondheim - Tyholt;SN68170;03.1950;1;0,9
Trondheim - Tyholt;SN68170;04.1950;4,3;1,1
Trondheim - Tyholt;SN68170;05.1950;7,8;-0,9
Trondheim - Tyholt;SN68170;06.1950;11,6;-0,4
Trondheim - Tyholt;SN68170;07.1950;14,3;1,1
Trondheim - Tyholt;SN68170;08.1950;16;3
Trondheim - Tyholt;SN68170;09.1950;9,8;0,5
Trondheim - Tyholt;SN68170;10.1950;6,5;0,7
Trondheim - Tyholt;SN68170;11.1950;0,8;0
Trondheim - Tyholt;SN68170;12.1950;-3;-1,5
Trondheim - Tyholt;SN68170;01.1951;-5,5;-2,4
Trondheim - Tyholt;SN68170;02.1951;-1,2;1,3
Trondheim - Tyholt;SN68170;03.1951;-2,9;-3
Trondheim - Tyholt;SN68170;04.1951;2,5;-0,7
Trondheim - Tyholt;SN68170;05.1951;5,8;-2,9
Trondheim - Tyholt;SN68170;06.1951;9,8;-2,2
Trondheim - Tyholt;SN68170;07.1951;11,6;-1,6
Trondheim - Tyholt;SN68170;08.1951;15,1;2,1
Trondheim - Tyholt;SN68170;09.1951;10,6;1,3
Trondheim - Tyholt;SN68170;10.1951;6,2;0,4
Trondheim - Tyholt;SN68170;11.1951;1,1;0,3
Trondheim - Tyholt;SN68170;12.1951;1,3;2,8
Trondheim - Tyholt;SN68170;01.1952;-4,8;-1,7
Trondheim - Tyholt;SN68170;02.1952;-1,8;0,7
Trondheim - Tyholt;SN68170;03.1952;-1,6;-1,7
Trondheim - Tyholt;SN68170;04.1952;5,7;2,5
Trondheim - Tyholt;SN68170;05.1952;8,3;-0,4
Trondheim - Tyholt;SN68170;06.1952;10,3;-1,7
Trondheim - Tyholt;SN68170;07.1952;12,6;-0,6
Trondheim - Tyholt;SN68170;08.1952;11,6;-1,4
Trondheim - Tyholt;SN68170;09.1952;6,2;-3,1
Trondheim - Tyholt;SN68170;10.1952;3,3;-2,5
Trondheim - Tyholt;SN68170;11.1952;-1,8;-2,6
Trondheim - Tyholt;SN68170;12.1952;-3,8;-2,3
Trondheim - Tyholt;SN68170;01.1953;-2,5;0,6
Trondheim - Tyholt;SN68170;02.1953;-4,7;-2,2
Trondheim - Tyholt;SN68170;03.1953;3,2;3,1
Trondheim - Tyholt;SN68170;04.1953;4;0,8
Trondheim - Tyholt;SN68170;05.1953;7,8;-0,9
Trondheim - Tyholt;SN68170;06.1953;16,4;4,4
Trondheim - Tyholt;SN68170;07.1953;14,5;1,3
Trondheim - Tyholt;SN68170;08.1953;13,3;0,3
Trondheim - Tyholt;SN68170;09.1953;9;-0,3
Trondheim - Tyholt;SN68170;10.1953;7,2;1,4
Trondheim - Tyholt;SN68170;11.1953;3,3;2,5
Trondheim - Tyholt;SN68170;12.1953;0,1;1,6
Trondheim - Tyholt;SN68170;01.1954;-4,2;-1,1
Trondheim - Tyholt;SN68170;02.1954;-5,5;-3
Trondheim - Tyholt;SN68170;03.1954;0,2;0,1
Trondheim - Tyholt;SN68170;04.1954;2,8;-0,4
Trondheim - Tyholt;SN68170;05.1954;11,4;2,7
Trondheim - Tyholt;SN68170;06.1954;10,6;-1,4
Trondheim - Tyholt;SN68170;07.1954;14,1;0,9
Trondheim - Tyholt;SN68170;08.1954;12,6;-0,4
Trondheim - Tyholt;SN68170;09.1954;8,6;-0,7
Trondheim - Tyholt;SN68170;10.1954;4,4;-1,4
Trondheim - Tyholt;SN68170;11.1954;1,4;0,6
Trondheim - Tyholt;SN68170;12.1954;0,2;1,7
Trondheim - Tyholt;SN68170;01.1955;-2,8;0,3
Trondheim - Tyholt;SN68170;02.1955;-5,7;-3,2
Trondheim - Tyholt;SN68170;03.1955;-2,1;-2,2
Trondheim - Tyholt;SN68170;04.1955;1,2;-2
Trondheim - Tyholt;SN68170;05.1955;5,1;-3,6
Trondheim - Tyholt;SN68170;06.1955;10;-2
Trondheim - Tyholt;SN68170;07.1955;14,7;1,5
Trondheim - Tyholt;SN68170;08.1955;14,1;1,1
Trondheim - Tyholt;SN68170;09.1955;9,9;0,6
Trondheim - Tyholt;SN68170;10.1955;3,5;-2,3
Trondheim - Tyholt;SN68170;11.1955;1,4;0,6
Trondheim - Tyholt;SN68170;12.1955;-5;-3,5
Trondheim - Voll;SN68860;01.1923;-0,3;2,7
Trondheim - Voll;SN68860;02.1923;-4,9;-2,4
Trondheim - Voll;SN68860;03.1923;1,2;1,2
Trondheim - Voll;SN68860;04.1923;2,3;-0,7
Trondheim - Voll;SN68860;05.1923;5,7;-3,3
Trondheim - Voll;SN68860;06.1923;6,5;-5,5
Trondheim - Voll;SN68860;07.1923;13,1;0,1
Trondheim - Voll;SN68860;08.1923;11,4;-1,1
Trondheim - Voll;SN68860;09.1923;8,5;-0,5
Trondheim - Voll;SN68860;10.1923;4,7;-0,8
Trondheim - Voll;SN68860;11.1923;-1,2;-1,7
