Navn;Stasjon;Tid(norsk normaltid);Homogenisert middeltemperatur (mnd);Homogenisert middeltemperatur, avvik fra normalen 1961-1990 (mnd)
Beitstad;SN70750;01.1884;-1,1;-
Beitstad;SN70750;02.1884;-3,7;-
Beitstad;SN70750;03.1884;0,5;-
Beitstad;SN70750;04.1884;3,7;-
Beitstad;SN70750;05.1884;7,1;-
Beitstad;SN70750;06.1884;12,4;-
Beitstad;SN70750;07.1884;15,9;-
Beitstad;SN70750;08.1884;16,3;-
Beitstad;SN70750;09.1884;12,3;-
Beitstad;SN70750;10.1884;6;-
Beitstad;SN70750;11.1884;-0,5;-
Beitstad;SN70750;12.1884;-3,6;-
Beitstad;SN70750;01.1885;-6,7;-
Beitstad;SN70750;02.1885;-1,8;-
Beitstad;SN70750;03.1885;-0,2;-
Beitstad;SN70750;04.1885;3,6;-
Beitstad;SN70750;05.1885;7,1;-
Beitstad;SN70750;06.1885;10,2;-
Beitstad;SN70750;07.1885;14;-
Beitstad;SN70750;08.1885;12;-
Beitstad;SN70750;09.1885;8,9;-
Beitstad;SN70750;10.1885;2,7;-
Beitstad;SN70750;11.1885;0,2;-
Beitstad;SN70750;12.1885;-1,6;-
Beitstad;SN70750;01.1886;-7,3;-
Beitstad;SN70750;02.1886;-4;-
Beitstad;SN70750;03.1886;-1,3;-
Beitstad;SN70750;04.1886;4,2;-
Beitstad;SN70750;05.1886;8,2;-
Beitstad;SN70750;06.1886;13,3;-
Beitstad;SN70750;07.1886;13,8;-
Beitstad;SN70750;08.1886;13,5;-
Beitstad;SN70750;09.1886;9;-
Beitstad;SN70750;10.1886;5,8;-
Beitstad;SN70750;11.1886;3,5;-
Beitstad;SN70750;12.1886;-5,8;-
Beitstad;SN70750;01.1887;-1,1;-
Beitstad;SN70750;02.1887;0,5;-
Beitstad;SN70750;03.1887;-0,5;-
Beitstad;SN70750;04.1887;2,9;-
Beitstad;SN70750;05.1887;8,4;-
Beitstad;SN70750;06.1887;10,8;-
Beitstad;SN70750;07.1887;13,5;-
Beitstad;SN70750;08.1887;12;-
Beitstad;SN70750;09.1887;11;-
Beitstad;SN70750;10.1887;2,8;-
Beitstad;SN70750;11.1887;-1,2;-
Beitstad;SN70750;12.1887;-6,4;-
Beitstad;SN70750;01.1888;-1,1;-
Beitstad;SN70750;02.1888;-8;-
Beitstad;SN70750;03.1888;-8,6;-
Beitstad;SN70750;04.1888;-0,1;-
Beitstad;SN70750;05.1888;7;-
Beitstad;SN70750;06.1888;12;-
Beitstad;SN70750;07.1888;13,3;-
Beitstad;SN70750;08.1888;12,6;-
Beitstad;SN70750;09.1888;8,8;-
Beitstad;SN70750;10.1888;2,6;-
Beitstad;SN70750;11.1888;-1,5;-
Beitstad;SN70750;12.1888;-0,3;-
Beitstad;SN70750;01.1889;-2,3;-
Beitstad;SN70750;02.1889;-8,6;-
Beitstad;SN70750;03.1889;-3,4;-
Beitstad;SN70750;04.1889;3,7;-
Beitstad;SN70750;05.1889;11,8;-
Beitstad;SN70750;06.1889;15,6;-
Beitstad;SN70750;07.1889;14,6;-
Beitstad;SN70750;08.1889;12,7;-
Beitstad;SN70750;09.1889;8,6;-
Beitstad;SN70750;10.1889;5,8;-
Beitstad;SN70750;11.1889;3,9;-
Beitstad;SN70750;12.1889;-2,4;-
Beitstad;SN70750;01.1890;-0,3;-
Beitstad;SN70750;02.1890;-1,6;-
Beitstad;SN70750;03.1890;1,1;-
Beitstad;SN70750;04.1890;4,6;-
Beitstad;SN70750;05.1890;11,3;-
Beitstad;SN70750;06.1890;12,7;-
Beitstad;SN70750;07.1890;13,2;-
Beitstad;SN70750;08.1890;13,5;-
Beitstad;SN70750;09.1890;10,3;-
Beitstad;SN70750;10.1890;3,9;-
Beitstad;SN70750;11.1890;1;-
Beitstad;SN70750;12.1890;-2,1;-
Beitstad;SN70750;01.1891;-3,7;-
Beitstad;SN70750;02.1891;1,7;-
Beitstad;SN70750;03.1891;-2,8;-
Beitstad;SN70750;04.1891;3,1;-
Beitstad;SN70750;05.1891;8,3;-
Beitstad;SN70750;06.1891;10,7;-
Beitstad;SN70750;07.1891;16,5;-
Beitstad;SN70750;08.1891;13,9;-
Beitstad;SN70750;09.1891;9;-
Beitstad;SN70750;10.1891;7,8;-
Beitstad;SN70750;11.1891;1,2;-
Beitstad;SN70750;12.1891;-1,9;-
Beitstad;SN70750;01.1892;-7,6;-
Beitstad;SN70750;02.1892;-7,6;-
Beitstad;SN70750;03.1892;-1;-
Beitstad;SN70750;04.1892;3;-
Beitstad;SN70750;05.1892;6,1;-
Beitstad;SN70750;06.1892;10,7;-
Beitstad;SN70750;07.1892;12,5;-
Beitstad;SN70750;08.1892;11,7;-
Beitstad;SN70750;09.1892;9,2;-
Beitstad;SN70750;10.1892;4,2;-
Beitstad;SN70750;11.1892;0,8;-
Beitstad;SN70750;12.1892;-3,6;-
Beitstad;SN70750;01.1893;-7,3;-
Beitstad;SN70750;02.1893;-10,1;-
Beitstad;SN70750;03.1893;-1,1;-
Beitstad;SN70750;04.1893;3,4;-
Beitstad;SN70750;05.1893;7,9;-
Beitstad;SN70750;06.1893;12;-
Beitstad;SN70750;07.1893;14,4;-
Beitstad;SN70750;08.1893;12,6;-
Beitstad;SN70750;09.1893;7,2;-
Beitstad;SN70750;10.1893;4,8;-
Beitstad;SN70750;11.1893;0,1;-
Beitstad;SN70750;12.1893;0,5;-
Beitstad;SN70750;01.1894;-3,2;-
Beitstad;SN70750;02.1894;-3,4;-
Beitstad;SN70750;03.1894;2,4;-
Beitstad;SN70750;04.1894;7,3;-
Beitstad;SN70750;05.1894;8,6;-
Beitstad;SN70750;06.1894;14,4;-
Beitstad;SN70750;07.1894;17;-
Beitstad;SN70750;08.1894;12,9;-
Beitstad;SN70750;09.1894;7,9;-
Beitstad;SN70750;10.1894;2,7;-
Beitstad;SN70750;11.1894;1,5;-
Beitstad;SN70750;12.1894;-0,6;-
Beitstad;SN70750;01.1895;-9,9;-
Beitstad;SN70750;02.1895;-8,2;-
Beitstad;SN70750;03.1895;-4,2;-
Beitstad;SN70750;04.1895;3,9;-
Beitstad;SN70750;05.1895;11,3;-
Beitstad;SN70750;06.1895;14,2;-
Beitstad;SN70750;07.1895;15,1;-
Beitstad;SN70750;08.1895;13,9;-
Beitstad;SN70750;09.1895;9,1;-
Beitstad;SN70750;10.1895;3,6;-
Beitstad;SN70750;11.1895;1,5;-
Beitstad;SN70750;12.1895;-4,3;-
Beitstad;SN70750;01.1896;-0,8;-
Beitstad;SN70750;02.1896;0,3;-
Beitstad;SN70750;03.1896;0,3;-
Beitstad;SN70750;04.1896;4,9;-
Beitstad;SN70750;05.1896;7,6;-
Beitstad;SN70750;06.1896;12,9;-
Beitstad;SN70750;07.1896;15,8;-
Beitstad;SN70750;08.1896;13,3;-
Beitstad;SN70750;09.1896;10,7;-
Beitstad;SN70750;10.1896;3,4;-
Beitstad;SN70750;11.1896;-1;-
Beitstad;SN70750;12.1896;-4,2;-
Beitstad;SN70750;01.1897;-8,2;-
Beitstad;SN70750;02.1897;-4,7;-
Beitstad;SN70750;03.1897;-2,7;-
Beitstad;SN70750;04.1897;5,4;-
Beitstad;SN70750;05.1897;9,7;-
Beitstad;SN70750;06.1897;11,9;-
Beitstad;SN70750;07.1897;15,2;-
Beitstad;SN70750;08.1897;15,4;-
Beitstad;SN70750;09.1897;10,1;-
Beitstad;SN70750;10.1897;5,4;-
Beitstad;SN70750;11.1897;0,9;-
Beitstad;SN70750;12.1897;-0,5;-
Beitstad;SN70750;01.1898;0,8;-
Beitstad;SN70750;02.1898;-4,3;-
Beitstad;SN70750;03.1898;-2,1;-
Beitstad;SN70750;04.1898;3,8;-
Beitstad;SN70750;05.1898;8,7;-
Beitstad;SN70750;06.1898;13,5;-
Beitstad;SN70750;07.1898;13,1;-
Beitstad;SN70750;08.1898;12,5;-
Beitstad;SN70750;09.1898;9,2;-
Beitstad;SN70750;10.1898;3,8;-
Beitstad;SN70750;11.1898;-0,7;-
Beitstad;SN70750;12.1898;-2,3;-
Beitstad;SN70750;01.1899;-5,4;-
Beitstad;SN70750;02.1899;-3,8;-
Beitstad;SN70750;03.1899;-5,4;-
Beitstad;SN70750;04.1899;1,6;-
Beitstad;SN70750;05.1899;5,3;-
Beitstad;SN70750;06.1899;12,1;-
Beitstad;SN70750;07.1899;16,8;-
Beitstad;SN70750;08.1899;11,1;-
Beitstad;SN70750;09.1899;8,8;-
Beitstad;SN70750;10.1899;3,7;-
Beitstad;SN70750;11.1899;2;-
Beitstad;SN70750;12.1899;-8,6;-
Beitstad;SN70750;01.1900;-6,9;-
Beitstad;SN70750;02.1900;-11;-
Beitstad;SN70750;03.1900;-1,6;-
Beitstad;SN70750;04.1900;1,8;-
Beitstad;SN70750;05.1900;6,5;-
Beitstad;SN70750;06.1900;14;-
Beitstad;SN70750;07.1900;12,3;-
Beitstad;SN70750;08.1900;12,7;-
Beitstad;SN70750;09.1900;7,9;-
Beitstad;SN70750;10.1900;4,3;-
Beitstad;SN70750;11.1900;0,1;-
Beitstad;SN70750;12.1900;-2,7;-
Beitstad;SN70750;01.1901;-3,7;-
Beitstad;SN70750;02.1901;-6,3;-
Beitstad;SN70750;03.1901;-2,4;-
Beitstad;SN70750;04.1901;4,6;-
Beitstad;SN70750;05.1901;8,9;-
Beitstad;SN70750;06.1901;14,6;-
Beitstad;SN70750;07.1901;18,8;-
Beitstad;SN70750;08.1901;14,9;-
Beitstad;SN70750;09.1901;11,5;-
Beitstad;SN70750;10.1901;8;-
Beitstad;SN70750;11.1901;-1,1;-
Beitstad;SN70750;12.1901;-8,6;-
Beitstad;SN70750;01.1902;-1,4;-
Beitstad;SN70750;02.1902;-3,3;-
Beitstad;SN70750;03.1902;-3,4;-
Beitstad;SN70750;04.1902;3;-
Beitstad;SN70750;05.1902;6,9;-
Beitstad;SN70750;06.1902;11,5;-
Beitstad;SN70750;07.1902;11,4;-
Beitstad;SN70750;08.1902;11,7;-
Beitstad;SN70750;09.1902;7,6;-
Beitstad;SN70750;10.1902;3;-
Beitstad;SN70750;11.1902;0,1;-
Beitstad;SN70750;12.1902;-4;-
Beitstad;SN70750;01.1903;-4,8;-
Beitstad;SN70750;02.1903;-0,1;-
Beitstad;SN70750;03.1903;2,3;-
Beitstad;SN70750;04.1903;3,2;-
Beitstad;SN70750;05.1903;8;-
Beitstad;SN70750;06.1903;11,1;-
Beitstad;SN70750;07.1903;13,9;-
Beitstad;SN70750;08.1903;12,7;-
Beitstad;SN70750;09.1903;10;-
Beitstad;SN70750;10.1903;2,6;-
Beitstad;SN70750;11.1903;1,3;-
Beitstad;SN70750;12.1903;-0,8;-
Beitstad;SN70750;01.1904;-1,3;-
Beitstad;SN70750;02.1904;-7,8;-
Beitstad;SN70750;03.1904;-1,8;-
Beitstad;SN70750;04.1904;4,5;-
Beitstad;SN70750;05.1904;7,3;-
Beitstad;SN70750;06.1904;11,4;-
Beitstad;SN70750;07.1904;12,5;-
Beitstad;SN70750;08.1904;12,3;-
Beitstad;SN70750;09.1904;9,8;-
Beitstad;SN70750;10.1904;4,7;-
Beitstad;SN70750;11.1904;-2,7;-
Beitstad;SN70750;12.1904;-3,8;-
Beitstad;SN70750;01.1905;-6,1;-
Beitstad;SN70750;02.1905;-2,4;-
Beitstad;SN70750;03.1905;-0,3;-
Beitstad;SN70750;04.1905;2,1;-
Beitstad;SN70750;05.1905;7,2;-
Beitstad;SN70750;06.1905;14,5;-
Beitstad;SN70750;07.1905;14;-
Beitstad;SN70750;08.1905;13,4;-
Beitstad;SN70750;09.1905;9,4;-
Beitstad;SN70750;10.1905;0,7;-
Beitstad;SN70750;11.1905;0,2;-
