Navn;Stasjon;Tid(norsk normaltid);Homogenisert middeltemperatur (mnd);Homogenisert middeltemperatur, avvik fra normalen 1961-1990 (mnd)
Beitstad;SN70750;12.1905;0,1;-
Beitstad;SN70750;01.1906;-4;-
Beitstad;SN70750;02.1906;-4,1;-
Beitstad;SN70750;03.1906;-2,3;-
Beitstad;SN70750;04.1906;3,6;-
Beitstad;SN70750;05.1906;9;-
Beitstad;SN70750;06.1906;12,5;-
Beitstad;SN70750;07.1906;15,3;-
Beitstad;SN70750;08.1906;13,4;-
Beitstad;SN70750;09.1906;9,7;-
Beitstad;SN70750;10.1906;5,4;-
Beitstad;SN70750;11.1906;2,1;-
Beitstad;SN70750;12.1906;-4;-
Beitstad;SN70750;01.1907;-3,1;-
Beitstad;SN70750;02.1907;-2,4;-
Beitstad;SN70750;03.1907;0,9;-
Beitstad;SN70750;04.1907;4;-
Beitstad;SN70750;05.1907;7,4;-
Beitstad;SN70750;06.1907;14;-
Beitstad;SN70750;07.1907;13,4;-
Beitstad;SN70750;08.1907;10,8;-
Beitstad;SN70750;09.1907;8;-
Beitstad;SN70750;10.1907;7,1;-
Beitstad;SN70750;11.1907;1,3;-
Beitstad;SN70750;12.1907;-5,6;-
Beitstad;SN70750;01.1908;-0,8;-
Beitstad;SN70750;02.1908;-2,3;-
Beitstad;SN70750;03.1908;-2,3;-
Beitstad;SN70750;04.1908;3,8;-
Beitstad;SN70750;05.1908;6,9;-
Beitstad;SN70750;06.1908;11,2;-
Beitstad;SN70750;07.1908;14,8;-
Beitstad;SN70750;08.1908;13,8;-
Beitstad;SN70750;09.1908;9,1;-
Beitstad;SN70750;10.1908;4,6;-
Beitstad;SN70750;11.1908;-2,7;-
Beitstad;SN70750;12.1908;-1,9;-
Beitstad;SN70750;01.1909;-0,6;-
Beitstad;SN70750;02.1909;-4,8;-
Beitstad;SN70750;03.1909;-3;-
Beitstad;SN70750;04.1909;2,3;-
Beitstad;SN70750;05.1909;5,8;-
Beitstad;SN70750;06.1909;11,4;-
Beitstad;SN70750;07.1909;14,4;-
Beitstad;SN70750;08.1909;11,6;-
Beitstad;SN70750;09.1909;8,9;-
Beitstad;SN70750;10.1909;6,5;-
Beitstad;SN70750;11.1909;-2,2;-
Beitstad;SN70750;12.1909;-3,9;-
Beitstad;SN70750;01.1910;-4,6;-
Beitstad;SN70750;02.1910;-0,4;-
Beitstad;SN70750;03.1910;0,8;-
Beitstad;SN70750;04.1910;4;-
Beitstad;SN70750;05.1910;10,5;-
Beitstad;SN70750;06.1910;13,3;-
Beitstad;SN70750;07.1910;14,9;-
Beitstad;SN70750;08.1910;14,8;-
Beitstad;SN70750;09.1910;9,8;-
Beitstad;SN70750;10.1910;5;-
Beitstad;SN70750;11.1910;-0,8;-
Beitstad;SN70750;12.1910;-1,7;-
Beitstad;SN70750;01.1911;-2,8;-
Beitstad;SN70750;02.1911;-0,9;-
Beitstad;SN70750;03.1911;-0,6;-
Beitstad;SN70750;04.1911;3,3;-
Beitstad;SN70750;05.1911;10,7;-
Beitstad;SN70750;06.1911;12,4;-
Beitstad;SN70750;07.1911;13,8;-
Beitstad;SN70750;08.1911;14,2;-
Beitstad;SN70750;09.1911;9,9;-
Beitstad;SN70750;10.1911;2,9;-
Beitstad;SN70750;11.1911;-2,5;-
Beitstad;SN70750;12.1911;-0,7;-
Beitstad;SN70750;01.1912;-6,3;-
Beitstad;SN70750;02.1912;-4;-
Beitstad;SN70750;03.1912;1,3;-
Beitstad;SN70750;04.1912;2,1;-
Beitstad;SN70750;05.1912;8,7;-
Beitstad;SN70750;06.1912;14,6;-
Beitstad;SN70750;07.1912;16,9;-
Beitstad;SN70750;08.1912;14,7;-
Beitstad;SN70750;09.1912;8,7;-
Beitstad;SN70750;10.1912;4;-
Beitstad;SN70750;11.1912;0,1;-
Beitstad;SN70750;12.1912;-0,1;-
Beitstad;SN70750;01.1913;-7,2;-
Beitstad;SN70750;02.1913;-1;-
Beitstad;SN70750;03.1913;0,8;-
Beitstad;SN70750;04.1913;5;-
Beitstad;SN70750;05.1913;9,4;-
Beitstad;SN70750;06.1913;12,6;-
Beitstad;SN70750;07.1913;14,4;-
Beitstad;SN70750;08.1913;13,8;-
Beitstad;SN70750;09.1913;9,8;-
Beitstad;SN70750;10.1913;4,4;-
Beitstad;SN70750;11.1913;3,6;-
Beitstad;SN70750;12.1913;-2,6;-
Beitstad;SN70750;01.1914;-2,4;-
Beitstad;SN70750;02.1914;0,6;-
Beitstad;SN70750;03.1914;-1,2;-
Beitstad;SN70750;04.1914;4,8;-
Beitstad;SN70750;05.1914;6,9;-
Beitstad;SN70750;06.1914;13,9;-
Beitstad;SN70750;07.1914;19,4;-
Beitstad;SN70750;08.1914;14,7;-
Beitstad;SN70750;09.1914;10,4;-
Beitstad;SN70750;10.1914;3,8;-
Beitstad;SN70750;11.1914;-0,6;-
Beitstad;SN70750;12.1914;-1,7;-
Beitstad;SN70750;01.1915;-6,3;-
Beitstad;SN70750;02.1915;-2,8;-
Beitstad;SN70750;03.1915;-3,6;-
Beitstad;SN70750;04.1915;3;-
Beitstad;SN70750;05.1915;5,8;-
Beitstad;SN70750;06.1915;9,7;-
Beitstad;SN70750;07.1915;14,2;-
Beitstad;SN70750;08.1915;13,9;-
Beitstad;SN70750;09.1915;7,8;-
Beitstad;SN70750;10.1915;1,7;-
Beitstad;SN70750;11.1915;-1,7;-
Beitstad;SN70750;12.1915;-10,3;-
Beitstad;SN70750;01.1916;-3;-
Beitstad;SN70750;02.1916;-4,3;-
Beitstad;SN70750;03.1916;-3,5;-
Beitstad;SN70750;04.1916;4,9;-
Beitstad;SN70750;05.1916;8,7;-
Beitstad;SN70750;06.1916;13,7;-
Beitstad;SN70750;07.1916;16,7;-
Beitstad;SN70750;08.1916;13;-
Beitstad;SN70750;09.1916;8,5;-
Beitstad;SN70750;10.1916;2,9;-
Beitstad;SN70750;11.1916;2,7;-
Beitstad;SN70750;12.1916;-2,6;-
Beitstad;SN70750;01.1917;-8,1;-
Beitstad;SN70750;02.1917;-3,5;-
Beitstad;SN70750;03.1917;-4,3;-
Beitstad;SN70750;04.1917;1,3;-
Beitstad;SN70750;05.1917;6,7;-
Beitstad;SN70750;06.1917;14,4;-
Beitstad;SN70750;07.1917;13,3;-
Beitstad;SN70750;08.1917;18;-
Beitstad;SN70750;09.1917;9,4;-
Beitstad;SN70750;10.1917;4,3;-
Beitstad;SN70750;11.1917;1,3;-
Beitstad;SN70750;12.1917;-3,5;-
Beitstad;SN70750;01.1918;-7,6;-
Beitstad;SN70750;02.1918;-3,8;-
Beitstad;SN70750;03.1918;-1,2;-
Beitstad;SN70750;04.1918;5,1;-
Beitstad;SN70750;05.1918;8,7;-
Beitstad;SN70750;06.1918;11,6;-
Beitstad;SN70750;07.1918;16,8;-
Beitstad;SN70750;08.1918;14,2;-
Beitstad;SN70750;09.1918;8,7;-
Beitstad;SN70750;10.1918;5,8;-
Beitstad;SN70750;11.1918;3;-
Beitstad;SN70750;12.1918;-4,4;-
Beitstad;SN70750;01.1919;-3,4;-
Beitstad;SN70750;02.1919;-3,3;-
Beitstad;SN70750;03.1919;-3;-
Beitstad;SN70750;04.1919;2,1;-
Beitstad;SN70750;05.1919;10,4;-
Beitstad;SN70750;06.1919;12;-
Beitstad;SN70750;07.1919;15,1;-
Beitstad;SN70750;08.1919;11,3;-
Beitstad;SN70750;09.1919;9,3;-
Beitstad;SN70750;10.1919;3,1;-
Beitstad;SN70750;11.1919;-4,3;-
Beitstad;SN70750;12.1919;-8,2;-
Beitstad;SN70750;01.1920;-0,8;-
Beitstad;SN70750;02.1920;0,4;-
Beitstad;SN70750;03.1920;3,6;-
Beitstad;SN70750;04.1920;5,5;-
Beitstad;SN70750;05.1920;11;-
Beitstad;SN70750;06.1920;12;-
Beitstad;SN70750;07.1920;15,3;-
Beitstad;SN70750;08.1920;12,5;-
Beitstad;SN70750;09.1920;10,1;-
Beitstad;SN70750;10.1920;6;-
Beitstad;SN70750;11.1920;1,9;-
Beitstad;SN70750;12.1920;-3;-
Beitstad;SN70750;01.1921;-2,4;-
Beitstad;SN70750;02.1921;-1,4;-
Beitstad;SN70750;03.1921;2,8;-
Beitstad;SN70750;04.1921;6,3;-
Beitstad;SN70750;05.1921;8,5;-
Beitstad;SN70750;06.1921;9,4;-
Beitstad;SN70750;07.1921;12;-
Beitstad;SN70750;08.1921;12,1;-
Beitstad;SN70750;09.1921;8,8;-
Beitstad;SN70750;10.1921;5,4;-
Beitstad;SN70750;11.1921;-2;-
Beitstad;SN70750;12.1921;-0,8;-
Beitstad;SN70750;01.1922;-8,8;-
Beitstad;SN70750;02.1922;-5,5;-
Beitstad;SN70750;03.1922;-0,9;-
Beitstad;SN70750;04.1922;2;-
Beitstad;SN70750;05.1922;8,1;-
Beitstad;SN70750;06.1922;11,6;-
Beitstad;SN70750;07.1922;15,6;-
Beitstad;SN70750;08.1922;13,6;-
Beitstad;SN70750;09.1922;9,6;-
Beitstad;SN70750;10.1922;4,4;-
Beitstad;SN70750;11.1922;1,9;-
Beitstad;SN70750;12.1922;0,3;-
Beitstad;SN70750;01.1923;0,2;-
Beitstad;SN70750;02.1923;-6,5;-
Beitstad;SN70750;03.1923;0,7;-
Beitstad;SN70750;04.1923;3,2;-
Beitstad;SN70750;05.1923;7,3;-
Beitstad;SN70750;06.1923;8,5;-
Beitstad;SN70750;07.1923;14,3;-
Beitstad;SN70750;08.1923;12,8;-
Beitstad;SN70750;09.1923;9,9;-
Beitstad;SN70750;10.1923;6;-
Beitstad;SN70750;11.1923;-0,2;-
Beitstad;SN70750;12.1923;-5,6;-
Beitstad;SN70750;01.1924;-3,1;-
Beitstad;SN70750;02.1924;-5,4;-
Beitstad;SN70750;03.1924;-4;-
Beitstad;SN70750;04.1924;3;-
Beitstad;SN70750;05.1924;7,6;-
Beitstad;SN70750;06.1924;11,2;-
Beitstad;SN70750;07.1924;16,5;-
Beitstad;SN70750;08.1924;15,6;-
Beitstad;SN70750;09.1924;11,1;-
Beitstad;SN70750;10.1924;7,3;-
Beitstad;SN70750;11.1924;2,7;-
Beitstad;SN70750;12.1924;1,8;-
Beitstad;SN70750;01.1925;2,2;-
Beitstad;SN70750;02.1925;-0,3;-
Beitstad;SN70750;03.1925;-2,9;-
Beitstad;SN70750;04.1925;4,8;-
Beitstad;SN70750;05.1925;10,2;-
Beitstad;SN70750;06.1925;12;-
Beitstad;SN70750;07.1925;18,4;-
Beitstad;SN70750;08.1925;15,2;-
Beitstad;SN70750;09.1925;10,7;-
Beitstad;SN70750;10.1925;1,7;-
Beitstad;SN70750;11.1925;-2,8;-
Beitstad;SN70750;12.1925;-5,6;-
Beitstad;SN70750;01.1926;-5,9;-
Beitstad;SN70750;02.1926;-4,2;-
Beitstad;SN70750;03.1926;-0,1;-
Beitstad;SN70750;04.1926;4;-
Beitstad;SN70750;05.1926;6,8;-
Beitstad;SN70750;06.1926;13,4;-
Beitstad;SN70750;07.1926;14;-
Beitstad;SN70750;08.1926;14,2;-
Beitstad;SN70750;09.1926;9,1;-
Beitstad;SN70750;10.1926;0,5;-
Beitstad;SN70750;11.1926;1,4;-
Beitstad;SN70750;12.1926;-2,1;-
Beitstad;SN70750;01.1927;-2,8;-
Beitstad;SN70750;02.1927;-1,7;-
Beitstad;SN70750;03.1927;1,9;-
Beitstad;SN70750;04.1927;1,8;-
Beitstad;SN70750;05.1927;5,4;-
Beitstad;SN70750;06.1927;11,3;-
Beitstad;SN70750;07.1927;18,1;-
Beitstad;SN70750;08.1927;15,7;-
Beitstad;SN70750;09.1927;9,3;-
Beitstad;SN70750;10.1927;3;-
Beitstad;SN70750;11.1927;-2,5;-
Beitstad;SN70750;12.1927;-4,9;-
Beitstad;SN70750;01.1928;-4,4;-
Beitstad;SN70750;02.1928;-3,3;-
Beitstad;SN70750;03.1928;-0,4;-
Beitstad;SN70750;04.1928;4,4;-
Beitstad;SN70750;05.1928;6,9;-
Beitstad;SN70750;06.1928;9,7;-
Beitstad;SN70750;07.1928;10,9;-
Beitstad;SN70750;08.1928;11,8;-
Beitstad;SN70750;09.1928;8,3;-
Beitstad;SN70750;10.1928;4,1;-
Beitstad;SN70750;11.1928;1,2;-
Beitstad;SN70750;12.1928;-2;-
Beitstad;SN70750;01.1929;-4,4;-
Beitstad;SN70750;02.1929;-6,3;-
Beitstad;SN70750;03.1929;2,4;-
Beitstad;SN70750;04.1929;0,6;-
Beitstad;SN70750;05.1929;8,7;-
Beitstad;SN70750;06.1929;10,7;-
Beitstad;SN70750;07.1929;12,4;-
Beitstad;SN70750;08.1929;12,1;-
Beitstad;SN70750;09.1929;8,3;-
Berkåk - Lyngholt;SN66730;12.1929;-1,2;4
Berkåk - Lyngholt;SN66730;01.1930;-1,1;5
Berkåk - Lyngholt;SN66730;02.1930;-3,5;1,9
Berkåk - Lyngholt;SN66730;03.1930;-1,6;1,1
Berkåk - Lyngholt;SN66730;04.1930;4;3,3
Berkåk - Lyngholt;SN66730;05.1930;7,7;1,1
Berkåk - Lyngholt;SN66730;06.1930;12,4;2,3
Berkåk - Lyngholt;SN66730;07.1930;13,9;2,5
Berkåk - Lyngholt;SN66730;08.1930;12,9;2,2
Berkåk - Lyngholt;SN66730;09.1930;6,8;0,3
Berkåk - Lyngholt;SN66730;10.1930;3,5;0,5
Berkåk - Lyngholt;SN66730;11.1930;-3,1;-0,5
Berkåk - Lyngholt;SN66730;12.1930;-1,6;3,6
Berkåk - Lyngholt;SN66730;01.1931;-7,5;-1,4
Berkåk - Lyngholt;SN66730;02.1931;-6,3;-0,9
Berkåk - Lyngholt;SN66730;03.1931;-5,3;-2,6
Berkåk - Lyngholt;SN66730;04.1931;0;-0,7
Berkåk - Lyngholt;SN66730;05.1931;6,9;0,3
Berkåk - Lyngholt;SN66730;06.1931;6,5;-3,6
Berkåk - Lyngholt;SN66730;07.1931;13,4;2
Berkåk - Lyngholt;SN66730;08.1931;9,3;-1,4
Berkåk - Lyngholt;SN66730;09.1931;4,4;-2,1
Berkåk - Lyngholt;SN66730;10.1931;1,3;-1,7
Berkåk - Lyngholt;SN66730;11.1931;1,2;3,8
Berkåk - Lyngholt;SN66730;12.1931;-3,8;1,4
Berkåk - Lyngholt;SN66730;01.1932;-0,7;5,4
Berkåk - Lyngholt;SN66730;02.1932;-1,3;4,1
Berkåk - Lyngholt;SN66730;03.1932;-4,9;-2,2
Berkåk - Lyngholt;SN66730;04.1932;0,3;-0,4
Berkåk - Lyngholt;SN66730;05.1932;6,3;-0,3
Berkåk - Lyngholt;SN66730;06.1932;8,1;-2
Berkåk - Lyngholt;SN66730;07.1932;12,7;1,3
Berkåk - Lyngholt;SN66730;08.1932;10,9;0,2
Berkåk - Lyngholt;SN66730;09.1932;6,3;-0,2
Berkåk - Lyngholt;SN66730;10.1932;0,1;-2,9
Berkåk - Lyngholt;SN66730;11.1932;-0,8;1,8
Berkåk - Lyngholt;SN66730;12.1932;-0,9;4,3
Berkåk - Lyngholt;SN66730;01.1933;-3,1;3
Berkåk - Lyngholt;SN66730;02.1933;-6,9;-1,5
Berkåk - Lyngholt;SN66730;03.1933;-2;0,7
Berkåk - Lyngholt;SN66730;04.1933;0,4;-0,3
Berkåk - Lyngholt;SN66730;05.1933;6,3;-0,3
Berkåk - Lyngholt;SN66730;06.1933;14,1;4
Berkåk - Lyngholt;SN66730;07.1933;13,7;2,3
Berkåk - Lyngholt;SN66730;08.1933;11,1;0,4
Berkåk - Lyngholt;SN66730;09.1933;9,3;2,8
Berkåk - Lyngholt;SN66730;10.1933;2,7;-0,3
Berkåk - Lyngholt;SN66730;11.1933;-4,1;-1,5
Berkåk - Lyngholt;SN66730;12.1933;-3,1;2,1
Berkåk - Lyngholt;SN66730;01.1934;-0,8;5,3
Berkåk - Lyngholt;SN66730;02.1934;-1,7;3,7
Berkåk - Lyngholt;SN66730;03.1934;-2,1;0,6
Berkåk - Lyngholt;SN66730;04.1934;1,2;0,5
Berkåk - Lyngholt;SN66730;05.1934;7,2;0,6
