"","species","b","se","edge"
"1","all_cold",0.000610942069725788,0.000852457531697977,"leading"
"2","all_semicold",0.00101020961251623,0.000564268378612077,"leading"
"3","all_generalist",0.00213762655102463,0.000280917518484361,"leading"
"4","all_semiwarm",0.0102776280245219,0.00278956807288115,"leading"
"5","all_warm",0.00141307243884734,0.00216898892527133,"leading"
"6","plant_cold",0.00149945685775302,0.00100666925409935,"leading"
"7","plant_semicold",0.00275258299168023,0.000661122075984961,"leading"
"8","plant_generalist",0.00365248936455738,0.000311631741358765,"leading"
"9","plant_semiwarm",0.0101146850076448,0.00326604694109029,"leading"
"10","plant_warm",0.0020286102173956,0.0022428159991625,"leading"
"11","vertebrate_cold",-0.00774327956021968,0.00232741050125451,"leading"
"12","vertebrate_semicold",-0.00824502152686478,0.00167698716570612,"leading"
"13","vertebrate_generalist",-0.00778457451170687,0.00112076077949597,"leading"
"14","invertebrate_cold",-0.00408901048663981,0.00179770746193203,"leading"
"15","invertebrate_semicold",-0.00386994093626573,0.00112331408188439,"leading"
"16","invertebrate_generalist",-0.00347299672421154,0.000683181610685137,"leading"
"17","invertebrate_semiwarm",-0.00173115426448712,0.00139264738386522,"leading"
"18","fungi_semicold",0.013154960409996,0.00615920912181082,"leading"
"19","fungi_generalist",0.00515469112181748,0.0024459255782575,"leading"
"20","fungi_semiwarm",0.0152072319090057,0.00927666381092458,"leading"
"21","fungi_warm",-0.00565991992953359,0.00895363765536768,"leading"
"22","all_cold",-0.000587737800262769,0.000507060554967487,"tailing"
"23","all_semicold",-0.000516397819672797,0.000358393877782204,"tailing"
"24","all_generalist",-0.000483333976396595,0.000202171504236963,"tailing"
"25","all_semiwarm",0.00289131523023631,0.00171940234253402,"tailing"
"26","all_warm",0.00100456891549838,0.00221735879638578,"tailing"
"27","plant_cold",-0.000984742289751029,0.000523449740456952,"tailing"
"28","plant_semicold",-0.00122085586091503,0.000382988651358834,"tailing"
"29","plant_generalist",-0.000385471507128315,0.000212963894220681,"tailing"
"30","plant_semiwarm",0.00210000435110858,0.00170851731836461,"tailing"
"31","plant_warm",0.00147278937990357,0.00228317325993076,"tailing"
"32","vertebrate_cold",-0.00774327956021968,0.00232741050125451,"tailing"
"33","vertebrate_semicold",-0.00824502152686478,0.00167698716570612,"tailing"
"34","vertebrate_generalist",-0.00778457451170687,0.00112076077949597,"tailing"
"35","invertebrate_cold",-0.00408901048663981,0.00179770746193203,"tailing"
"36","invertebrate_semicold",-0.00386994093626573,0.00112331408188439,"tailing"
"37","invertebrate_generalist",-0.00347299672421154,0.000683181610685137,"tailing"
"38","invertebrate_semiwarm",-0.00173115426448712,0.00139264738386522,"tailing"
"39","fungi_semicold",0.013154960409996,0.00615920912181082,"tailing"
"40","fungi_generalist",0.00515469112181748,0.0024459255782575,"tailing"
"41","fungi_semiwarm",0.0152072319090057,0.00927666381092458,"tailing"
"42","fungi_warm",-0.00565991992953359,0.00895363765536768,"tailing"
