"","species","b","se","edge"
"1","all_cold",-0.109980524442675,0.0203160054154846,"leading"
"2","all_semicold",-0.102909317993099,0.0139920366817526,"leading"
"3","all_generalist",-0.0714625528294889,0.00671729421181434,"leading"
"4","all_semiwarm",-0.0216490284813807,0.0793809546507325,"leading"
"5","all_warm",-0.017425118741656,0.0554395445031893,"leading"
"6","plant_cold",-0.122421621515302,0.0233302083873059,"leading"
"7","plant_semicold",-0.118401068645697,0.0162054424657167,"leading"
"8","plant_generalist",-0.0628216888765581,0.00738571386317234,"leading"
"9","plant_semiwarm",-0.0772572516787924,0.0887360470667852,"leading"
"10","plant_warm",-0.00815508523347705,0.0575074029025425,"leading"
"11","vertebrate_cold",-0.28798574945939,0.0637925150747984,"leading"
"12","vertebrate_semicold",-0.180707426119078,0.0624595881060956,"leading"
"13","vertebrate_generalist",-0.212584727649649,0.0350464870856987,"leading"
"14","invertebrate_cold",-0.014227401555557,0.0416400420626369,"leading"
"15","invertebrate_semicold",0.00166990534248589,0.0256757211030946,"leading"
"16","invertebrate_generalist",-0.0418819048494975,0.0175162824833896,"leading"
"17","invertebrate_semiwarm",-0.0534513042337395,0.0334996411702743,"leading"
"18","fungi_semicold",-0.0885616380245156,0.227241023942765,"leading"
"19","fungi_generalist",-0.0946774268014319,0.0617430480771089,"leading"
"20","fungi_semiwarm",0.138486146505504,0.266323985011714,"leading"
"21","fungi_warm",-0.203462349611534,0.230635926260457,"leading"
"22","all_cold",-0.0766585822861436,0.0120522185862344,"tailing"
"23","all_semicold",-0.0628347391259891,0.00889099681773327,"tailing"
"24","all_generalist",-0.0423728336730124,0.00483024701907493,"tailing"
"25","all_semiwarm",-0.0229208963311615,0.0463532271311282,"tailing"
"26","all_warm",-0.0312204500859034,0.0564725214879874,"tailing"
"27","plant_cold",-0.106531956042692,0.0119490695205521,"tailing"
"28","plant_semicold",-0.0965250125614636,0.0092878777149277,"tailing"
"29","plant_generalist",-0.0584539977429791,0.0049899866604537,"tailing"
"30","plant_semiwarm",-0.0504728084167481,0.0436011963319863,"tailing"
"31","plant_warm",-0.0270861589283345,0.0582214398737063,"tailing"
"32","vertebrate_cold",-0.28798574945939,0.0637925150747984,"tailing"
"33","vertebrate_semicold",-0.180707426119078,0.0624595881060956,"tailing"
"34","vertebrate_generalist",-0.212584727649649,0.0350464870856987,"tailing"
"35","invertebrate_cold",-0.014227401555557,0.0416400420626369,"tailing"
"36","invertebrate_semicold",0.00166990534248589,0.0256757211030946,"tailing"
"37","invertebrate_generalist",-0.0418819048494975,0.0175162824833896,"tailing"
"38","invertebrate_semiwarm",-0.0534513042337395,0.0334996411702743,"tailing"
"39","fungi_semicold",-0.0885616380245156,0.227241023942765,"tailing"
"40","fungi_generalist",-0.0946774268014319,0.0617430480771089,"tailing"
"41","fungi_semiwarm",0.138486146505504,0.266323985011714,"tailing"
"42","fungi_warm",-0.203462349611534,0.230635926260457,"tailing"
