"species","b","se"
"all_cold",0.000610942069725788,0.000852457531697977
"all_semicold",0.00101020961251623,0.000564268378612077
"all_generalist",0.00213762655102463,0.000280917518484361
"all_semiwarm",0.0102776280245219,0.00278956807288115
"all_warm",0.00141307243884734,0.00216898892527133
"plant_cold",0.00149945685775302,0.00100666925409935
"plant_semicold",0.00275258299168023,0.000661122075984961
"plant_generalist",0.00365248936455738,0.000311631741358765
"plant_semiwarm",0.0101146850076448,0.00326604694109029
"plant_warm",0.0020286102173956,0.0022428159991625
"vertebrate_cold",-0.00774327956021968,0.00232741050125451
"vertebrate_semicold",-0.00824502152686478,0.00167698716570612
"vertebrate_generalist",-0.00778457451170687,0.00112076077949597
"invertebrate_cold",-0.00408901048663981,0.00179770746193203
"invertebrate_semicold",-0.00386994093626573,0.00112331408188439
"invertebrate_generalist",-0.00347299672421154,0.000683181610685137
"invertebrate_semiwarm",-0.00173115426448712,0.00139264738386522
"fungi_semicold",0.013154960409996,0.00615920912181082
"fungi_generalist",0.00515469112181748,0.0024459255782575
"fungi_semiwarm",0.0152072319090057,0.00927666381092458
"fungi_warm",-0.00565991992953359,0.00895363765536768
