;species;kingdom;phylum;tempcat;N;Duration;bp1_lead_year;se.bp1_lead_year;bp2_lead_year;se.bp2_lead_year;bp1_tail_year;se.bp1_tail_year;bp2_tail_year;se.bp2_tail_year;bp1_lead_temp;se.bp1_lead_temp;bp2_lead_temp;se.bp2_lead_temp;bp1_tail_temp;se.bp1_tail_temp;bp2_tail_temp;se.bp2_tail_temp
58;Carex demissa;Plantae;Tracheophyta;generalist;44;84;NA;NA;NA;NA;NA;NA;NA;NA;4.95856614090939;0.345490730556338;5.21850236568751;0.975972753136583;3.33698245085714;0.983943561835692;5.36351056843981;0.734575492433712
59;Carex digitata;Plantae;Tracheophyta;generalist;40;64;NA;NA;NA;NA;1976.99378133205;2.60934924292045;1980.98076743648;2.78304381146439;NA;NA;NA;NA;NA;NA;NA;NA
60;Carex dioica;Plantae;Tracheophyta;generalist;47;101;NA;NA;NA;NA;1971.99907345142;1.89629365421687;1974.99789041806;2.84856120657101;4.4200831987276;0.689340478194467;4.79162809833664;1.14105469388074;NA;NA;NA;NA
61;Carex echinata;Plantae;Tracheophyta;generalist;32;55;NA;NA;NA;NA;1986.00114867234;4.71460990907335;1999.86440226411;3.56142989192191;3.3574641663554;0.550747914089711;3.49787784036494;0.282364795957491;NA;NA;NA;NA
62;Carex flava;Plantae;Tracheophyta;generalist;61;119;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
63;Carex hostiana;Plantae;Tracheophyta;generalist;36;85;1975.99913063687;6.43250491464336;1997.01532368745;5.15455668698314;1976.48448320078;1.9996472081395;1985.99970839984;2.78560735483983;4.24424553837285;0.0737273838053625;4.36633562098862;0.0942482005121179;5.09489032524278;1.2197376813636;5.78639790427059;1.06307132771204
64;Carex lachenalii;Plantae;Tracheophyta;cold;26;63;NA;NA;NA;NA;1972.15797439228;2.91360135056179;1977.35674876263;2.30445391158726;4.15598222537848;0.429648659295449;4.87746732410858;0.322703771092365;5.37882876210727;0.0013099945141599;5.38703429707213;0.00760548966319047
65;Carex lasiocarpa;Plantae;Tracheophyta;generalist;28;63;1982.92202499137;17.334056439404;2002.00019982201;1.04869684432424;1967.19719595807;15.2469649041814;1990.63273611144;4.4991490884406;NA;NA;NA;NA;NA;NA;NA;NA
66;Carex lepidocarpa;Plantae;Tracheophyta;generalist;25;85;NA;NA;NA;NA;NA;NA;NA;NA;3.60895912916795;0.370275032557619;5.56600069611765;0.495990537133341;5.67014354859835;0.476720824159414;6.16913330098717;0.244878788407234
67;Carex leporina;Plantae;Tracheophyta;generalist;22;70;NA;NA;NA;NA;1986.00531895888;1.87297493900099;1992.30326419296;1.65880601615195;NA;NA;NA;NA;4.5219246831456;0.639616203948633;5.02008676867442;0.298341423953514
68;Carex limosa;Plantae;Tracheophyta;generalist;40;77;NA;NA;NA;NA;NA;NA;NA;NA;3.58627512219194;0.340031494275338;5.46263722741258;0.959309928587324;2.97623598476681;0.174689890067085;5.20748525882929;0.227688538030396
69;Carex microglochin;Plantae;Tracheophyta;cold;24;59;1962.67831501098;7.0019837232918;1977.99992206816;3.07256301642106;NA;NA;NA;NA;4.27013886110374;0.160472346129779;4.4264285307508;0.174463887697496;3.06765256396146;0.273814915799586;3.48041025314591;0.614917948444968
70;Carex nigra;Plantae;Tracheophyta;generalist;62;106;NA;NA;NA;NA;1987.18754979844;5.32661099614026;2000.22811166237;2.02356117057604;3.91947376389238;0.237015861037685;4.69827507468087;0.240641469685325;4.79550215614158;0.249537945348352;5.16941247981939;0.182279056321395
71;Carex norvegica;Plantae;Tracheophyta;cold;38;71;1986.96859435066;5.20106519772796;2005.55294547846;6.07983547302704;1975.50719897839;1.3540979832133;1977.83858745698;1.59455950194574;5.07946131581541;0.714913715865703;5.60290768591645;0.155110059844154;3.03845313757888;0.15577053136349;5.49261366375075;0.431490876662298
72;Carex oederi;Plantae;Tracheophyta;generalist;77;105;1967.89106972642;1.6366888758649;1969.82882243758;2.77403562672102;1976.47727536697;3.76568476566429;1978.95042143088;5.12303553820521;5.58390737017794;0.248960442398622;5.66788623075326;0.213280356378011;NA;NA;NA;NA
73;Carex ornithopoda;Plantae;Tracheophyta;semicold;30;64;1948.57340735458;6.12163273688357;1983.63371395879;36.833696033716;NA;NA;NA;NA;3.06768440476037;0.383865184792883;4.97213725725585;0.359805486603442;NA;NA;NA;NA
74;Carex pallescens;Plantae;Tracheophyta;generalist;31;65;1975.55256238287;1.39313361967015;1977.06518095402;0.936216044553371;NA;NA;NA;NA;NA;NA;NA;NA;3.56291587487467;0.398823242826807;3.84594421382739;5.59474837317383
75;Carex panicea;Plantae;Tracheophyta;generalist;45;119;1953.8490211431;8.93695673787303;1967.1255349676;9.80587894084952;1987.99991219498;1.83646748521611;1993.27777066736;1.8915389182891;NA;NA;NA;NA;NA;NA;NA;NA
76;Carex pauciflora;Plantae;Tracheophyta;generalist;28;51;NA;NA;NA;NA;1982.99997736143;5.39529988665571;1999.99660742374;3.25938020137175;4.07983753146198;0.404513796330362;4.56178155223236;0.266865615139663;NA;NA;NA;NA
77;Carex pilulifera;Plantae;Tracheophyta;generalist;35;68;NA;NA;NA;NA;NA;NA;NA;NA;4.0169215794521;0.39366122311565;4.79380118254752;0.279403278184744;NA;NA;NA;NA
78;Carex pulicaris;Plantae;Tracheophyta;generalist;37;66;1950.00005565657;7.53375049423319;1992.52805182193;13.1454922265701;1973.36032363525;2.29393181710573;1981.56907042459;2.68529196105224;NA;NA;NA;NA;NA;NA;NA;NA
79;Carex rariflora;Plantae;Tracheophyta;cold;25;63;1959.70349635357;5.27449744777639;1971.82088420876;3.19822659871808;1973.8549348074;1.70356269219937;1976.57497899694;3.67092024389042;3.84321893540663;0.515112180574338;4.68163566001635;0.334756232958816;NA;NA;NA;NA
80;Carex rostrata;Plantae;Tracheophyta;generalist;51;77;1939.39154299014;1.87836041332802;1979.99869016817;5.97443901829757;1991.99979044223;3.06316042849321;1999.97956676144;1.81993243148501;2.99702961763945;0.0368984249552052;3.27048704946494;0.501512011771977;5.38142902107429;0.195643458615443;5.79580292142205;0.430765368931936
81;Carex rupestris;Plantae;Tracheophyta;semicold;33;74;NA;NA;NA;NA;NA;NA;NA;NA;3.48219768750926;1.02060026137751;3.87915893130028;3.19205320334266;3.48368240395533;0.840423716410338;3.8784812519355;1.54860682878985
82;Carex saxatilis;Plantae;Tracheophyta;cold;37;82;NA;NA;NA;NA;1953.38991876977;127.050424946434;1981.00110521757;11.3132205812536;NA;NA;NA;NA;3.98861828714997;0.357412721398757;4.35073336795504;0.329018912936516
83;Carex simpliciuscula;Plantae;Tracheophyta;cold;29;63;1966.04452094348;7.21509166131141;1970.99952074028;8.75084621144802;1964.91857371062;6.48099066928998;1999.77755137035;6.22444464197147;4.35069933108349;0.631366469176167;5.12382695010785;0.46525728390869;3.18237423672323;0.197819545556693;3.4884012959448;0.12068549742156
84;Carex vaginata;Plantae;Tracheophyta;semicold;38;65;NA;NA;NA;NA;1964.10997583323;11.2627789078645;1977.92631761941;4.68755927562152;3.91623047465156;0.421390590282846;4.33280555933818;0.293582223452484;4.11559590470582;0.00114831418865763;4.1171964600346;0.000747744355664131
85;Carex vesicaria;Plantae;Tracheophyta;generalist;24;62;NA;NA;NA;NA;NA;NA;NA;NA;4.54834903702143;1.37813073775355;5.14571470151661;0.463811086914247;3.60938462479164;0.392989244183349;5.12192159876234;0.378178213957936
86;Carum carvi;Plantae;Tracheophyta;generalist;23;55;1993.763771795;47.8439758114696;1999.32407843362;8.58300340886971;NA;NA;NA;NA;4.13044823247779;0.199112974900449;4.42870051988418;0.267540912207551;4.90199069219551;0.0669924259156393;4.98448133791923;0.0661597144170689
87;Centaurea cyanus;Plantae;Tracheophyta;generalist;33;96;NA;NA;NA;NA;NA;NA;NA;NA;3.9722657358546;0.391413765278473;5.30556377992735;0.208095847739804;4.69173604986164;0.321376806527026;5.28592639635804;0.164421815295488
88;Centroptilum luteolum;Animalia;Arthropoda;generalist;32;57;1999.79268133348;1.43658007232197;2002.29354063201;1.47583937373586;1993.80839707323;4.67685934834622;2003.99809230272;4.20626237204514;3.02773089806337;0.047201501334379;6.2793103719593;3.22771321538558;NA;NA;NA;NA
89;Cerastium alpinum;Plantae;Tracheophyta;semicold;47;80;NA;NA;NA;NA;1987.10488102866;9.34496438483387;1997.17690566123;6.78386218521408;3.01506815466148;0.293346024413547;4.9053759027062;0.245141079708349;4.11552222324151;0.313001339780366;4.35204201594603;0.243507181165766
90;Cerastium cerastoides;Plantae;Tracheophyta;cold;24;60;1964.97671465162;2.47036988854523;1970.00474195586;1.91325104152461;1977.62705268726;7.91299036159665;1999.97730281707;2.60345440882774;4.2024743544342;0.126860586452649;4.35061701625326;0.039447185197744;NA;NA;NA;NA
91;Cerastium fontanum;Plantae;Tracheophyta;generalist;35;55;NA;NA;NA;NA;NA;NA;NA;NA;4.37423548880141;0.433044534956942;5.0515449128538;0.398742131652404;4.35068263270287;0.381277923916839;4.99394323115054;0.733905442624205
92;Cerastium holosteoides;Plantae;Tracheophyta;generalist;72;117;1946.97477381331;6.63530800350995;1951.99997678523;10.1424109999517;1923.00008774637;5.76079241496256;1957.53021907461;21.3240189814548;3.31687192138942;0.141608620415137;3.37657003957391;0.0944024302580158;NA;NA;NA;NA
93;Ceratopsyche newae;Animalia;Arthropoda;cold;34;67;NA;NA;NA;NA;NA;NA;NA;NA;4.85856899527383;41.1649006009091;4.94427187841467;0.239212872971758;NA;NA;NA;NA
94;Cherleria biflora;Plantae;Tracheophyta;cold;28;104;1965.50310295346;3.28548275610656;1968.90784324094;3.64536210451158;1972.98764448403;2.68637258322653;1978.00087415794;3.26684467346994;4.24896741387278;0.140922221462351;4.45006210709203;0.153966795718941;NA;NA;NA;NA
95;Cicerbita alpina;Plantae;Tracheophyta;semicold;32;51;1958.36085177366;2.78664839090971;2004.03449380359;3.12239303272238;1987.74469910618;3.21609645983787;1994.17722548103;3.4981168198067;4.12253394316718;0.124557773161639;4.30902787858041;0.0832125395375645;3.52796352615489;0.197806680690966;5.25308111522002;0.317945978603459
96;Circaea alpina;Plantae;Tracheophyta;generalist;24;64;NA;NA;NA;NA;1957.02488315821;8.04450580465071;1977.44699303962;6.12329267834208;NA;NA;NA;NA;NA;NA;NA;NA
97;Cirsium heterophyllum;Plantae;Tracheophyta;generalist;22;108;NA;NA;NA;NA;1976.26586407551;13.3524628946966;1989.73286659559;37.1229530631887;4.93669549928387;0.0898998761537951;5.18194370399785;0.620042895417896;NA;NA;NA;NA
98;Clinopodium acinos;Plantae;Tracheophyta;generalist;78;120;1936.96875598714;3.52733687847063;1941.60607711933;9.50157017125101;1931.14524709128;15.860927868656;1937.96836992271;12.8562630665603;3.65911006352433;0.74875702527636;4.52031696770549;0.501848997013818;4.9522810330276;0.544271373492785;5.97975646654411;0.649314921385917
99;Clinopodium vulgare;Plantae;Tracheophyta;generalist;25;59;1973.30756268945;4.09318483034826;1978.99890911582;5.23665003559942;NA;NA;NA;NA;4.68121863294038;0.59306636874237;5.40297806958984;1.09552612956573;NA;NA;NA;NA
100;Coenagrion hastulatum;Animalia;Arthropoda;generalist;22;51;1974.27078287147;3.68066814881238;1998.44964434005;9.1467704568274;NA;NA;NA;NA;4.78311809595695;2.67256963481899;5.21478109259853;4.2333799004388;NA;NA;NA;NA
101;Colobanthus subulatus;Plantae;Tracheophyta;warm;20;104;1923.20302606758;3.55527744076271;1985.00171305469;10.7381917218592;1923.17729150347;4.48511295885138;1979.19141061188;26.2274174676938;NA;NA;NA;NA;3.92328875858023;1.27271935855297;4.43288580040125;1.19893680683127
102;Comarum palustre;Plantae;Tracheophyta;generalist;29;104;NA;NA;NA;NA;1979.99746191911;6.68695836767317;1986.00126475531;4.895123356357;3.3744883333548;0.0582975351017528;3.49446579763866;0.0701419006520437;4.87039730023976;0.0913190645560935;5.04093636280243;0.118704804288296
103;Convallaria majalis;Plantae;Tracheophyta;generalist;37;71;1974.57716792159;3.40119672978789;1978.99965934364;4.12030641353975;1981.0003799258;9.60112980750874;2004.09351065571;4.12049028258419;5.29119987286061;0.0674562083644706;5.43644291368173;0.0730774783987662;NA;NA;NA;NA
