;species;kingdom;phylum;tempcat;N;Duration;bp1_lead_year;se.bp1_lead_year;bp2_lead_year;se.bp2_lead_year;bp1_tail_year;se.bp1_tail_year;bp2_tail_year;se.bp2_tail_year;bp1_lead_temp;se.bp1_lead_temp;bp2_lead_temp;se.bp2_lead_temp;bp1_tail_temp;se.bp1_tail_temp;bp2_tail_temp;se.bp2_tail_temp
1;Achillea ptarmica;Plantae;Tracheophyta;generalist;30;49;NA;NA;NA;NA;1998.06559027555;3.66219518715271;2001.12490053951;1.92028580015083;4.38916141555528;0.146250377815229;4.54078021108884;0.0827869507201377;5.32447615909356;0.120830043244269;5.81543041056495;0.314312119639403
2;Achnatherum calamagrostis;Plantae;Tracheophyta;semicold;78;118;NA;NA;NA;NA;1971.29807986078;3.41168055108954;1997.70664928061;2.9608826802485;4.08782941271016;0.787082017375837;4.27814875326606;0.343482244626653;4.87386469650359;0.125783115890755;4.90519821534947;0.690934194243229
3;Actaea spicata;Plantae;Tracheophyta;generalist;39;61;1973.32742154814;2.53358056337432;1979.00027559718;2.83101253540534;1966.93982785572;5.13987710977882;1978.62080731502;4.69337274627232;3.77173488597888;0.495092679290311;5.47569810781754;0.68241347096893;NA;NA;NA;NA
4;Agrostis canina;Plantae;Tracheophyta;generalist;23;54;NA;NA;NA;NA;1989.46026816088;9.98463102901199;1998.94612675779;2.38818463976338;4.36792683881922;0.440355552164035;4.61336067051198;0.190236964559758;4.20568197219896;0.241239330086561;4.6128223724957;0.221679162691929
5;Agrostis capillaris;Plantae;Tracheophyta;generalist;35;54;NA;NA;NA;NA;NA;NA;NA;NA;3.17332810096509;0.303230509085347;3.67988604393159;0.575125292172625;4.39217595923334;0.144235322853341;4.61286645435485;0.197126030047424
6;Agrostis mertensii;Plantae;Tracheophyta;cold;29;63;NA;NA;NA;NA;1965.61415554315;6.58123035096449;1970.63085126119;19.9541480636166;3.08540927262984;0.324845959451462;3.71913720876298;0.638145308609715;3.06763232169832;0.285295433288764;5.4990874155785;1.72476236525323
7;Agrostis stolonifera;Plantae;Tracheophyta;generalist;25;54;1969.69165045557;9.26847977654349;1997.23299314845;4.29400037724494;NA;NA;NA;NA;3.85921525623454;0.309501875092629;5.03222580015603;0.227774255410171;4.67416437645098;0.811116243003843;5.0705847442163;0.558155050553681
8;Alchemilla alpina;Plantae;Tracheophyta;semicold;32;57;1978.99973607772;4.26979029788205;1995.33514184091;4.01463974567537;1986.00022331478;5.3463841114656;1999.15592339799;2.46041405166726;4.01324441757073;0.396954770210015;4.55334858846369;0.439188320932364;3.06766379017481;0.229431888839722;5.25452972981031;1.72099178157107
9;Alchemilla glabra;Plantae;Tracheophyta;generalist;26;74;1952.00137030515;4.70553416783626;1957.33120258031;3.31054340604935;1946.00220256127;5.78146191633843;1975.00006550412;4.40369462501824;3.12901688039772;0.237598423778151;4.01416347485965;0.749842407261629;4.30051274653755;0.175162910316926;4.37398842004632;0.0902336354498829
10;Alchemilla monticola;Plantae;Tracheophyta;generalist;23;73;1964.6409680395;5.03854634597013;1998.99999175665;2.99865912100123;1942.71855205476;3.23532443673676;1976.30730852384;13.0915646660193;3.67622435765313;0.295545174252638;5.25307991540209;0.294145182021005;NA;NA;NA;NA
11;Alchemilla wichurae;Plantae;Tracheophyta;semicold;21;60;NA;NA;NA;NA;NA;NA;NA;NA;4.09586168467064;0.316346053766822;4.39890070111772;0.165017836990029;4.18024493210491;1.05251899300887;4.60994000843826;0.703396006260924
12;Allium oleraceum;Plantae;Tracheophyta;generalist;20;67;1971.99997420852;7.86796687961513;2000.74422612174;1.87932093250894;1976.43615313653;25.7428917278744;1997.81059773163;25.7602035065307;4.36614099950852;0.729413767345945;5.40444051917285;0.498872686124505;NA;NA;NA;NA
13;Alopecurus geniculatus;Plantae;Tracheophyta;generalist;28;53;1979.38506939772;4.57557926127778;1994.53232053842;5.28399790989032;NA;NA;NA;NA;NA;NA;NA;NA;3.59100413604992;0.200671110882802;4.55492850285085;0.275118317365535
14;Andromeda polifolia;Plantae;Tracheophyta;generalist;28;104;NA;NA;NA;NA;NA;NA;NA;NA;4.06739185169766;1.19521681042207;4.4540086051944;0.625173530622768;3.2579394102033;0.619430115211326;4.02772753390185;2.67658408996588
15;Anemone nemorosa;Plantae;Tracheophyta;generalist;34;67;1983.68321339943;6.94094359234322;1991.81783346132;4.51995772792011;1956.58952940759;12.5597656175386;1981.02063079847;5.63177500938289;3.82464285357844;0.339996641429037;5.44740127977685;0.364533090766504;3.57278538635032;0.125211414124782;3.72010209283518;0.740085086686388
16;Antennaria dioica;Plantae;Tracheophyta;generalist;42;77;NA;NA;NA;NA;1986.00017096478;2.80350502218876;1994.26974337114;2.3454751267609;3.92581649933382;0.803792059581548;4.18819071566261;0.395016786156033;3.84313112076772;0.341310877781135;4.41646831068226;0.374005298641982
17;Anthoxanthum nitens;Plantae;Tracheophyta;semicold;83;120;NA;NA;NA;NA;1955.66146952207;3.11463077587599;1958.45085450569;3.22036436731812;4.91422227691078;0.129181935429417;4.95569272750316;0.0983535872701005;4.44947098265458;0.530858248553379;4.59772871940865;0.89566634244455
18;Anthoxanthum odoratum;Plantae;Tracheophyta;generalist;31;104;NA;NA;NA;NA;NA;NA;NA;NA;3.57172546783857;0.650800926630619;5.25460395163431;0.485044203653838;3.22598085812013;0.365983317287126;3.66206857273458;0.534977368048761
19;Anthyllis vulneraria;Plantae;Tracheophyta;generalist;29;69;NA;NA;NA;NA;1971.12169954114;5.8768731553576;1975.99986222672;3.79792743778254;NA;NA;NA;NA;4.99354900385277;0.213234386998332;5.31760406877835;0.0275102888618329
20;Apatania stigmatella;Animalia;Arthropoda;cold;21;64;NA;NA;NA;NA;1969.31452003183;4.20293304297887;1998.92056914229;5.48100059679267;3.65664442134981;0.144691181738429;3.91161670140281;0.194870606442108;3.61906566410424;0.194943314701597;4.13511743182504;0.223049515388584
21;Arabidopsis thaliana;Plantae;Tracheophyta;generalist;20;84;1995.62932572289;9.08326455175578;2000.63769614674;4.13581311788638;NA;NA;NA;NA;4.2807311169179;0.579561053662905;5.10485372675661;0.15158453783236;3.06771832701579;0.31270345067142;5.65652609577194;0.0894878609892319
22;Arabis alpina;Plantae;Tracheophyta;cold;24;65;NA;NA;NA;NA;1973.84784388236;2.65137193404125;1977.42616306194;4.15441314556562;NA;NA;NA;NA;3.06763993209587;0.300513417691575;4.512914988995;1.54569243929001
23;Arabis hirsuta;Plantae;Tracheophyta;generalist;27;65;1972.99966551065;4.1454740908735;1990.01206372188;6.91773328183316;NA;NA;NA;NA;3.14460270786157;0.113490766548753;4.00836988046765;0.231808494090106;4.8774149426407;0.162862423999429;5.12126689346267;0.170239237218193
24;Arctostaphylos alpinus;Plantae;Tracheophyta;semicold;75;119;NA;NA;NA;NA;1953.99790430914;9.67639763994939;2000.12942374961;3.28095947765157;3.84181957340473;1.59773964890839;4.26943944017894;0.74571654930889;4.92656863780934;0.0832590147202558;4.98135824586995;0.0616101682767325
25;Asplenium trichomanes;Plantae;Tracheophyta;generalist;23;84;NA;NA;NA;NA;NA;NA;NA;NA;3.17047298489108;0.479920215271029;5.42516755964303;1.078217219851;4.08245375031114;0.57200668998864;5.38211392800583;0.953883168657399
26;Asplenium viride;Plantae;Tracheophyta;generalist;35;78;1974.044276255;8.10307674142351;1994.99933213007;7.7580542405876;1973.42335667368;4.12549199717955;1977.99994047337;4.27097869537735;2.99665505047644;0.128350243949123;3.48857386526719;0.34182769622729;5.37276782190454;0.0174820128022495;5.44958125412494;0.0704285870857454
27;Astragalus alpinus;Plantae;Tracheophyta;cold;32;66;NA;NA;NA;NA;1988.10079734438;7.68275777693839;1994.6904732608;10.1602309032199;4.6816669794748;2.10869267039156;4.93972639532932;0.186506819598604;3.0770516872461;0.327882156852175;4.20623875206665;1.05765111740062
28;Athyrium filix-femina;Plantae;Tracheophyta;generalist;34;67;NA;NA;NA;NA;1961.99683944742;20.3527290773587;1996.04198358164;5.26287845300974;3.25737179771513;0.634977923870416;4.34789104151451;0.552374029640344;4.31418149504583;0.479226271303183;4.60350219286299;0.560477733475044
29;Avenella flexuosa;Plantae;Tracheophyta;generalist;34;54;1980.00107914072;4.13364729767272;1995.7380926495;7.49354483327375;1988.00027194304;1.75911696045731;1992.66130296627;2.39798139321187;3.84319342576525;0.755646896688269;4.34925322839433;0.489022031067659;4.01741848891864;0.258201283672967;4.61285853806624;0.245640111163432
30;Avenula pubescens;Plantae;Tracheophyta;generalist;31;69;1996.07774380055;5.33982661349144;2001.49869933629;3.56810702625051;1954.96563864352;12.6392295586182;1999.39339543064;3.95614100663191;NA;NA;NA;NA;NA;NA;NA;NA
31;Baetis rhodani;Animalia;Arthropoda;semicold;47;49;NA;NA;NA;NA;NA;NA;NA;NA;5.72895696708767;0.297772957129185;6.23376006720355;0.400524479510008;4.29286299938156;0.558081200906862;6.29120922897537;1.281751948
32;Barbarea stricta;Plantae;Tracheophyta;generalist;24;56;1966.9999826061;7.3591035027502;2005.91378310223;2.97099155380092;1978.00957869782;12.4185289492839;1996.99986143214;6.89009978819935;4.87543210624457;0.229370111879214;5.78284990107823;0.581720615721254;3.21530192027309;0.952354696794234;3.68529789279198;0.577650212335073
33;Bartsia alpina;Plantae;Tracheophyta;semicold;38;112;1970.99576653545;7.51269779765227;2000.98724414812;4.10441178195868;NA;NA;NA;NA;4.21254981935459;0.122100583050172;4.3123110362444;0.140248126562153;2.94597760518847;0.194581454764232;3.14467777436074;0.152363615253339
34;Betula nana;Plantae;Tracheophyta;semicold;33;105;NA;NA;NA;NA;1986.00010203377;4.89727755562219;2001.73312145208;3.38436488613619;4.90865768097502;0.0853556977957461;4.99007363641746;0.0649256977212006;NA;NA;NA;NA
35;Betula pubescens;Plantae;Tracheophyta;generalist;35;104;1948.99140949781;11.5871384372812;1979.64827561717;2.76323364993119;NA;NA;NA;NA;4.37589476819175;0.725817888100526;5.24281604700771;0.473882282295804;3.23120558113002;0.372077771469815;3.45370304041445;0.268770370839776
36;Blepharostoma trichophyllum;Plantae;Marchantiophyta;generalist;27;112;1970.00141043342;9.67926355668606;1992.61478041684;9.68233390874548;1971.72859681483;1.7459463617856;1974.69036606463;1.3766481601936;5.07946467841846;0.584551441070568;6.48515158739662;0.0769457012677249;NA;NA;NA;NA
37;Blysmus rufus;Plantae;Tracheophyta;generalist;59;102;1960.41070377652;31.6466875696674;2001.00368380426;7.40784493301161;NA;NA;NA;NA;4.29286081958374;0.209423574435889;4.41426776771007;0.130853531113538;4.24444828403267;0.236551934771477;4.67341051347996;0.285782517100549
38;Botrychium lunaria;Plantae;Tracheophyta;semicold;41;69;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3.44296035765068;0.254182811263718;3.51452988950787;0.225921769160056
39;Buccinum undatum;Animalia;Mollusca;generalist;25;64;1926.99806998174;16.7544285012304;1968.3835579331;8.84983492404343;NA;NA;NA;NA;2.87147855687609;2.30902422303725;4.96151606443646;0.575090460255693;NA;NA;NA;NA
40;Caenis horaria;Animalia;Arthropoda;generalist;20;58;2007.63884027697;1.48983471176525;2011.66053107817;1.82784630993256;1970.50898517532;6.07540096505321;1997.10238129303;12.7684410840927;3.7789825159738;0.584492029185642;4.40767258074332;0.487717858418881;3.71053037744513;0.333670991183529;4.47219237059877;0.456305342997294
41;Calamagrostis purpurea;Plantae;Tracheophyta;generalist;42;69;1961.11750065603;2.78867809999394;1970.67511878477;1.91716030753948;NA;NA;NA;NA;4.91326931660303;0.1740787624323;5.05919213668088;0.300932335736295;NA;NA;NA;NA
42;Callitriche brutia;Plantae;Tracheophyta;generalist;49;99;1998.81809266648;3.57584852407599;2003.99997805933;3.03977647813369;1985.00027992304;18.4744922416564;2003.98168769835;17.5425320099677;NA;NA;NA;NA;5.09095159573738;0.934711586708645;5.59296082984735;0.427955864543745
43;Campanula latifolia;Plantae;Tracheophyta;generalist;24;52;1972.88202456663;2.25050703286044;1976.99767041163;3.08353273067058;NA;NA;NA;NA;3.90786440049308;0.29248159605561;5.07198087167753;1.45630888768661;NA;NA;NA;NA
44;Campanula rotundifolia;Plantae;Tracheophyta;generalist;34;49;NA;NA;NA;NA;1989.34737943674;1.90099412444495;1992.05828523827;1.7647051479609;NA;NA;NA;NA;4.10610037269341;0.14392303606535;4.31293542674305;0.125589271788052
45;Cardamine amara;Plantae;Tracheophyta;generalist;26;55;1959.2944064484;3.722922337751;1983.74809801518;13.0109788529669;NA;NA;NA;NA;3.42768763252186;0.116945270535743;3.79458060055324;0.432374898867833;3.65980031210455;0.400740363603182;4.32473109907798;0.321714960823792
46;Cardamine flexuosa;Plantae;Tracheophyta;generalist;23;76;NA;NA;NA;NA;NA;NA;NA;NA;4.22722415601408;0.301058206031611;4.34289030080789;0.585056302490145;3.79266382577401;0.357320765650341;4.71039689764823;0.387400871154643
47;Cardamine pratensis;Plantae;Tracheophyta;generalist;27;50;1984.54858269703;2.42213453006448;1986.96587236781;2.29352230053121;1988.82136848036;0.501071495204904;1991.09172677612;0.955168640383398;NA;NA;NA;NA;NA;NA;NA;NA
48;Carex adelostoma;Plantae;Tracheophyta;cold;39;58;1967.13186027586;2.32801657005649;1969.94636205119;2.38815537949422;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
49;Carex atrata;Plantae;Tracheophyta;semicold;42;65;1949.00217091991;6.89075612817443;1977.8393465358;8.9386849654148;1967.26054506579;6.56762002637838;1977.99972713691;4.62810555662717;3.285556212724;0.253522958668099;3.65986514138213;0.289149455138893;3.06891848262577;0.108083456413838;3.44459777581275;0.142128438322867
50;Carex atrofusca;Plantae;Tracheophyta;cold;33;63;1974.76951110373;3.64013658797572;1993.42980857501;13.4742893290202;NA;NA;NA;NA;NA;NA;NA;NA;3.46114242945987;0.225299905559122;3.62727563965402;0.213558447322361
51;Carex bigelowii;Plantae;Tracheophyta;semicold;44;119;NA;NA;NA;NA;1995.21181559382;2.73852174419685;1999.13234071891;1.649516868478;4.95644989159653;0.0235110487772943;4.98257508439456;0.0337254458574497;5.35800015101296;0.0589474117950633;5.49504151019073;0.142296874923004
52;Carex brunnescens;Plantae;Tracheophyta;semicold;35;69;1996.43599857658;1.50845802215509;2001.41590077189;1.072707916259;1981.00059066282;5.76568710259812;2003.59358914653;1.50275828044433;5.23770922660624;0.174594793770244;5.57590302438837;0.152595567408082;3.12940118531928;0.0555523306353981;5.46535091206269;0.270851341584267
53;Carex buxbaumii;Plantae;Tracheophyta;semicold;34;62;1993.4819932553;8.35935929289527;2007.31044834714;9.84485843312081;NA;NA;NA;NA;NA;NA;NA;NA;4.21939910901199;0.176380388618265;4.45397915181629;0.189656679797993
54;Carex canescens;Plantae;Tracheophyta;generalist;41;65;1980.24904041676;9.33268318019152;2002.01639442299;3.23390883629126;NA;NA;NA;NA;4.36323559962603;0.0471044870973844;4.43335469985695;0.106443332679845;4.24485323458448;0.143760869546128;4.37566800660693;0.0885572048921945
55;Carex capillaris;Plantae;Tracheophyta;semicold;46;78;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
56;Carex chordorrhiza;Plantae;Tracheophyta;semicold;27;57;NA;NA;NA;NA;1975.90371738421;1.25076567009824;1977.63689687365;1.89389092536347;NA;NA;NA;NA;NA;NA;NA;NA
57;Carex dacica;Plantae;Tracheophyta;semicold;41;120;1965.26921836622;11.3809510208103;1986.67331789691;20.0371777801902;NA;NA;NA;NA;3.59101869020516;0.594448552131987;4.88409915543736;0.359987389706648;3.59099905310794;0.496366459684359;4.94491300198763;0.256611658366607
