"taxa","N","Duration","Ryear_leading","regslope_temp_leading","se_temp_leading"
"Plants_all",120,120,-0.0990413689530605,-0.106770745587723,0.00933984705801857
"Plants_cold",107,120,-0.129355827435613,-0.166899229359545,0.0318064223659406
"Plants_semicold",117,120,-0.136443233091648,-0.161417949441569,0.0220931223217015
"Plants_generalist",119,120,-0.0911589021362899,-0.0856457489353866,0.0100690542795948
"Plants_semiwarm",38,108,-0.108191317423402,-0.10532596781538,0.120975181414402
"Plants_warm",43,119,-0.0192942107507915,-0.0111179497868115,0.0784007033079824
"Vertebrate_all",84,114,-0.372341525069574,-0.299332760483371,0.0378782333959401
"Vertebrate_cold",50,111,-0.439766693099767,-0.392615283610638,0.0869692908254808
"Vertebrate_semicold",46,114,-0.299413884609066,-0.246361139360107,0.0851520915340853
"Vertebrate_generalist",68,114,-0.383026775411846,-0.289819941764951,0.0477794005173452
"Vertebrate_semiwarm",NA,NA,NA,NA,NA
"Vertebrate_warm",NA,NA,NA,NA,NA
"Invertebrate_all",92,117,-0.0441627023439255,-0.0287432209975182,0.0187310595635224
"Invertebrate_cold",66,111,-0.0247801680659434,-0.0193964295360564,0.0567684927280968
"Invertebrate_semicold",77,114,0.00334519065323752,0.0022766069532041,0.035004094965541
"Invertebrate_generalist",83,117,-0.0953579443036101,-0.0570982278862967,0.0238802101420993
"Invertebrate_semiwarm",10,86,-0.491334132484677,-0.0728709632698209,0.0456705623233502
"Invertebrate_warm",NA,NA,NA,NA,NA
"Fungi_all",58,92,-0.102469857372967,-0.0967631636539902,0.0796735944738719
"Fungi_cold",NA,NA,NA,NA,NA
"Fungi_semicold",16,84,-0.103598088437249,-0.120737406956038,0.309801089917612
"Fungi_generalist",50,92,-0.152315330594432,-0.129075153353766,0.0841752217854017
"Fungi_semiwarm",19,85,0.125125252320909,0.188800236777234,0.363083475845507
"Fungi_warm",5,80,-0.453849916409707,-0.27738326721644,0.314429411071677
