"species","b","se"
"all_cold",-0.109980524442675,0.0203160054154846
"all_semicold",-0.102909317993099,0.0139920366817526
"all_generalist",-0.0714625528294889,0.00671729421181434
"all_semiwarm",-0.0216490284813807,0.0793809546507325
"all_warm",-0.017425118741656,0.0554395445031893
"plant_cold",-0.122421621515302,0.0233302083873059
"plant_semicold",-0.118401068645697,0.0162054424657167
"plant_generalist",-0.0628216888765581,0.00738571386317234
"plant_semiwarm",-0.0772572516787924,0.0887360470667852
"plant_warm",-0.00815508523347705,0.0575074029025425
"vertebrate_cold",-0.28798574945939,0.0637925150747984
"vertebrate_semicold",-0.180707426119078,0.0624595881060956
"vertebrate_generalist",-0.212584727649649,0.0350464870856987
"invertebrate_cold",-0.014227401555557,0.0416400420626369
"invertebrate_semicold",0.00166990534248589,0.0256757211030946
"invertebrate_generalist",-0.0418819048494975,0.0175162824833896
"invertebrate_semiwarm",-0.0534513042337395,0.0334996411702743
"fungi_semicold",-0.0885616380245156,0.227241023942765
"fungi_generalist",-0.0946774268014319,0.0617430480771089
"fungi_semiwarm",0.138486146505504,0.266323985011714
"fungi_warm",-0.203462349611534,0.230635926260457
