"species","b","se"
"all_cold",-0.000587737800262769,0.000507060554967487
"all_semicold",-0.000516397819672797,0.000358393877782204
"all_generalist",-0.000483333976396595,0.000202171504236963
"all_semiwarm",0.00289131523023631,0.00171940234253402
"all_warm",0.00100456891549838,0.00221735879638578
"plant_cold",-0.000984742289751029,0.000523449740456952
"plant_semicold",-0.00122085586091503,0.000382988651358834
"plant_generalist",-0.000385471507128315,0.000212963894220681
"plant_semiwarm",0.00210000435110858,0.00170851731836461
"plant_warm",0.00147278937990357,0.00228317325993076
"vertebrate_cold",-0.00774327956021968,0.00232741050125451
"vertebrate_semicold",-0.00824502152686478,0.00167698716570612
"vertebrate_generalist",-0.00778457451170687,0.00112076077949597
"invertebrate_cold",-0.00408901048663981,0.00179770746193203
"invertebrate_semicold",-0.00386994093626573,0.00112331408188439
"invertebrate_generalist",-0.00347299672421154,0.000683181610685137
"invertebrate_semiwarm",-0.00173115426448712,0.00139264738386522
"fungi_semicold",0.013154960409996,0.00615920912181082
"fungi_generalist",0.00515469112181748,0.0024459255782575
"fungi_semiwarm",0.0152072319090057,0.00927666381092458
"fungi_warm",-0.00565991992953359,0.00895363765536768
