"","species_sp","year","kingdom","phylum","class","order","family","max","range","mean","median","q10","q90","uniqlat","total","minyear","maxyear","rangeyear"
"11","Musculus niger",1910,"Animalia","Mollusca","Bivalvia","Mytilida","Mytilidae",63.9219,0.444099999999999,63.7119375,63.64555,63.58819,63.88494,6,8,1910,1970,61
"12","Musculus niger",1969,"Animalia","Mollusca","Bivalvia","Mytilida","Mytilidae",64.9167,1.03340000000001,63.9791416666667,63.8833,63.8833,63.98833,3,12,1910,1970,61
"13","Musculus niger",1970,"Animalia","Mollusca","Bivalvia","Mytilida","Mytilidae",64.0211,0.469700000000003,63.8822934210526,63.8833,63.8833,63.8833,4,76,1910,1970,61
"14","Neptunea despecta",1923,"Animalia","Mollusca","Gastropoda","Neogastropoda","Buccinidae",64.0265,0.451799999999999,63.69224,63.6056,63.58706,63.87542,4,5,1923,1972,50
"15","Neptunea despecta",1971,"Animalia","Mollusca","Gastropoda","Neogastropoda","Buccinidae",63.9006,0.453899999999997,63.6602375,63.6329,63.45415,63.88705,15,16,1923,1972,50
"16","Neptunea despecta",1972,"Animalia","Mollusca","Gastropoda","Neogastropoda","Buccinidae",64.0292,0.518100000000004,63.7470736842105,63.7155,63.54272,63.9719,18,19,1923,1972,50
"17","Nuculana pernula",1907,"Animalia","Mollusca","Bivalvia","Nuculanida","Nuculanidae",63.9122,0.464100000000002,63.8117833333333,63.88125,63.65635,63.89775,5,6,1907,1981,75
"18","Nuculana pernula",1909,"Animalia","Mollusca","Bivalvia","Nuculanida","Nuculanidae",63.9368,0.491999999999997,63.6057,63.589,63.45385,63.77425,5,6,1907,1981,75
"19","Nuculana pernula",1973,"Animalia","Mollusca","Bivalvia","Nuculanida","Nuculanidae",63.8833,0.426099999999998,63.7399,63.8833,63.4572,63.8833,4,15,1907,1981,75
"20","Nuculana pernula",1981,"Animalia","Mollusca","Bivalvia","Nuculanida","Nuculanidae",64.5167,1.0786,63.75668,63.4381,63.4381,64.5167,3,10,1907,1981,75
"21","Ophiopholis aculeata",1906,"Animalia","Echinodermata","Ophiuroidea","Amphilepidida","Ophiopholidae",63.8691,0.416200000000003,63.8145857142857,63.8414,63.8047,63.86712,10,14,1906,1981,76
"22","Ophiopholis aculeata",1907,"Animalia","Echinodermata","Ophiuroidea","Amphilepidida","Ophiopholidae",63.9122,0.471399999999996,63.71012,63.8646,63.44564,63.89936,5,5,1906,1981,76
"23","Ophiopholis aculeata",1933,"Animalia","Echinodermata","Ophiuroidea","Amphilepidida","Ophiopholidae",65.0121,1.81740000000001,63.724825,63.43225,63.29837,64.56067,8,8,1906,1981,76
"24","Ophiopholis aculeata",1935,"Animalia","Echinodermata","Ophiuroidea","Amphilepidida","Ophiopholidae",64.2063,1.0885,63.6519166666667,63.661,63.45038,63.88266,11,12,1906,1981,76
"25","Ophiopholis aculeata",1951,"Animalia","Echinodermata","Ophiuroidea","Amphilepidida","Ophiopholidae",64.5083,1.0789,63.8725066666667,63.6783,63.45632,64.4077,8,15,1906,1981,76
"26","Ophiopholis aculeata",1968,"Animalia","Echinodermata","Ophiuroidea","Amphilepidida","Ophiopholidae",64.0727,0.954899999999995,63.7376583333333,63.8833,63.187,63.95,13,36,1906,1981,76
"27","Ophiopholis aculeata",1969,"Animalia","Echinodermata","Ophiuroidea","Amphilepidida","Ophiopholidae",65.2333,1.7111,64.5973428571429,64.9667,63.68636,65.175,30,49,1906,1981,76
